,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,2,1,1,0,0*,-,1,0.00,0,0,0,0,0,0,2,2,84,109,4,2/38,2/38,27.25,7.78,21.0,0,0,0
1,T20Is,2,2,1,11,10,11.00,10,110.00,0,0,1,1,0,0,2,1,18,44,1,1/44,1/44,44.00,14.66,18.0,0,0,0
2,First-class,3,4,2,4,4,2.00,20,20.00,0,0,1,0,3,0,3,6,336,201,5,3/56,4/64,40.20,3.58,67.2,0,0,0
3,List A,18,12,5,77,14*,11.00,107,71.96,0,0,3,5,6,0,18,17,569,579,17,2/28,2/28,34.05,6.10,33.4,0,0,0
4,T20s,12,4,2,17,10,8.50,12,141.66,0,0,1,2,1,0,12,11,215,312,11,3/28,3/28,28.36,8.70,19.5,0,0,0
