,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,103,182,11,7214,333,42.18,11970,60.26,15,37,1046,98,96,0,103,104,7109,3120,73,5/34,6/81,42.73,2.63,97.3,2,2,0
1,ODIs,298,291,17,10393,215,37.93,11923,87.16,25,53,1119,326,124,0,298,199,7424,5926,167,5/46,5/46,35.48,4.78,44.4,3,1,0
2,T20Is,58,54,4,1627,117,32.54,1139,142.84,2,13,138,105,15,0,58,23,319,377,17,2/15,2/15,22.17,7.09,18.7,0,0,0
3,First-class,180,321,26,13226,333,44.83,,,32,64,,,158,0,180,,12511,5194,132,5/34,,39.34,2.49,94.7,,2,0
4,List A,370,362,24,13102,215,38.76,,,29,69,,,154,0,370,,9700,7380,229,5/46,5/46,32.22,4.56,42.3,4,1,0
5,T20s,384,376,48,12808,175*,39.04,8693,147.33,21,80,987,941,87,0,384,131,1945,2479,80,4/22,4/22,30.98,7.64,24.3,2,0,0
