,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,35,65,4,2558,181,41.93,4526,56.51,8,12,292,7,25,0,35,25,517,354,4,3/27,3/42,88.50,4.10,129.2,0,0,0
1,ODIs,28,26,1,557,60,22.28,749,74.36,0,3,60,1,4,0,28,12,234,190,7,2/13,2/13,27.14,4.87,33.4,0,0,0
2,T20Is,6,4,1,60,26*,20.00,50,120.00,0,0,5,2,1,0,6,2,18,32,0,-,-,-,10.66,-,0,0,0
3,First-class,95,166,8,6626,258,41.93,,,19,30,,,61,0,95,69,1816,1172,16,3/27,3/42,73.25,3.87,113.5,0,0,0
4,List A,139,135,8,4024,182,31.68,4929,81.63,4,23,412,51,52,0,139,68,1729,1378,39,3/29,3/29,35.33,4.78,44.3,0,0,0
5,T20s,89,77,9,1370,64,20.14,1224,111.92,0,7,142,29,29,0,89,14,174,229,6,2/14,2/14,38.16,7.89,29.0,0,0,0
