,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,2,4,0,48,18,12.00,153,31.37,0,0,6,0,2,0,2,1,4,13,0,-,-,-,19.50,-,0,0,0
1,ODIs,3,3,0,20,7,6.66,45,44.44,0,0,0,0,2,0,3,-,-,-,-,-,-,-,-,-,-,-,-
2,First-class,35,58,3,2293,194,41.69,4234,54.15,6,10,287,8,26,0,35,15,286,174,4,2/44,2/45,43.50,3.65,71.5,0,0,0
3,List A,92,90,12,2885,150*,36.98,3414,84.50,6,12,224,61,52,0,92,19,335,295,8,2/39,2/39,36.87,5.28,41.8,0,0,0
4,T20s,40,36,3,583,54*,17.66,509,114.53,0,1,57,12,18,0,40,7,62,85,2,2/9,2/9,42.50,8.22,31.0,0,0,0
