,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,2,4,1,88,41*,29.33,159,55.34,0,0,8,2,2,0,2,3,66,24,1,1/10,1/17,24.00,2.18,66.0,0,0,0
1,ODIs,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,18,17,0,-,-,-,5.66,-,0,0,0
2,T20Is,9,8,4,59,18*,14.75,61,96.72,0,0,4,0,5,0,9,1,6,13,1,1/13,1/13,13.00,13.00,6.0,0,0,0
3,First-class,79,120,14,3595,231,33.91,5552,64.75,8,17,341,87,64,0,79,111,6559,3689,102,6/75,7/105,36.16,3.37,64.3,8,1,0
4,List A,99,88,14,2026,109,27.37,2435,83.20,2,8,121,66,50,0,99,71,2130,2056,68,5/38,5/38,30.23,5.79,31.3,2,1,0
5,T20s,67,56,16,860,59*,21.50,730,117.80,0,1,52,23,34,0,67,8,78,150,6,3/38,3/38,25.00,11.53,13.0,0,0,0
