,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,66,123,9,4006,219*,35.14,8540,46.90,6,19,478,30,102,15,66,-,-,-,-,-,-,-,-,-,-,-,-
1,ODIs,213,199,33,5925,144,35.69,7507,78.92,7,35,474,81,177,44,213,-,-,-,-,-,-,-,-,-,-,-,-
2,T20Is,77,69,12,1138,72*,19.96,955,119.16,0,4,98,28,31,28,77,-,-,-,-,-,-,-,-,-,-,-,-
3,First-class,107,189,20,6007,219*,35.54,,,10,31,,,166,23,107,,72,34,1,1/23,1/23,34.00,2.83,72.0,0,0,0
4,List A,293,274,46,8815,145*,38.66,,,11,54,,,247,81,293,-,-,-,-,-,-,-,-,-,-,-,-
5,T20s,169,155,29,3366,86,26.71,2648,127.11,0,19,279,98,88,43,169,-,-,-,-,-,-,-,-,-,-,-,-
