"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Australia","AUS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2693.1306721415","2845.36569272334","3267.97633421849","3970.22834516404","5359.77367495261","5818.02148248558","6219.55176226203","6354.8065516529","6756.0231097568","7458.49898586544","8207.0165412402","9727.70476186481","10271.0293963914","9377.90233712154","10068.4920397534","9122.04871856492","9056.94908259939","9252.52826917037","11447.2510874317","14142.4491018092","14129.7975288682","14614.0352004171","14439.0054010516","13921.1994982028","14378.0567374458","16043.8564962315","17314.3643196546","18604.7273682852","16982.1563390402","16353.9852021216","17053.4276671066","15432.9805777095","15966.4650573932","18701.8231277535","24129.2258614145","26330.9238842814","27633.4631219053","30910.8019656172","37434.142020741","33071.5908713247","40009.4912851245","47826.0997775902","52858.4914908532","53239.2234995537","48104.0874215901","44138.4174555974","38730.204956193","41849.0668664999","43346.0145145518","",
"Austria","AUT","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1762.56016831068","2036.00552242713","2500.07848485221","3335.02370206932","3961.75573173528","4503.92869519392","4861.11632701026","5805.25221976362","6962.6534973198","8321.86794231913","9183.86610894862","7873.04943773734","7903.67482757492","8045.04073112621","7576.53968539613","7745.58322006406","11022.6727672298","13796.8950405721","14886.8802589867","14802.561530257","18412.967503098","18912.9309211972","21002.7043100415","20254.781599869","21553.2691112759","25393.730400976","25034.6390540021","22290.4894142375","22794.2460659076","22352.3517797484","20343.6567428842","20128.4565919214","21822.9898060087","26671.0167743344","30565.798961729","31857.4571908325","33974.747502385","39121.1392835638","43479.9537203234","39508.752331164","38999.7093158766","42579.398750283","39994.2186052362","41696.6801036991","42429.8679971472","35813.0772090232","37144.0909409012","38491.2753946778","42074.3940319437","",
"Azerbaijan","AZE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","449.278838929786","406.869947897395","361.55436802118","435.517829951148","551.065444911073","651.563082943859","739.646940847034","942.174839929535","1356.51822892263","2043.42585140392","3145.38507467122","3310.38422946767","3836.05157000025","4641.90033639904","5146.88047154933","5696.9169528156","5987.5265437108","4423.6728606214","2996.27025139383","3168.80915683955","3282.24443028918","",
"Burundi","BDI","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","172.272776432055","178.837062529063","173.396414462302","188.964486019468","165.510319951288","188.836063464146","185.349190713505","165.118467604024","152.511018953004","152.793490912021","147.307687085606","151.552503818894","134.710649686174","114.070702372111","106.051722752802","101.159278633084","79.5450280095827","95.7583209211484","83.6130082032123","88.5452994576318","97.3595559508659","86.945794435308","72.949403140747","48.3262365803915","65.9664465149988","85.0938927450528","102.400363782997","91.8018774968243","104.993537643142","117.34961442629","146.830951792141","153.864909613719","175.357814454513","180.364192505735","191.346189393488","216.100804297678","196.666852058015","207.298648315384","205.615292192017","",
"Belgium","BEL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2410.19131818494","2691.09004488497","3348.83687361022","4306.10761912614","5022.49547216753","5874.7603905106","6392.80946636589","7361.85268782604","8978.95301422757","10243.1724514324","10887.9934087385","8915.10021435601","7803.286960105","7386.13093326845","7122.15959470049","7405.35431136235","10349.3521740738","12944.7290768661","14095.5998472919","14176.1058999184","17695.2095616875","18093.5104441944","20054.3144571825","19265.8053613066","21128.1832252376","24609.3664837961","23720.5325521262","21434.0925521805","21836.0492791167","21652.8349756646","19805.4639722617","19527.9979175238","21086.2679070114","25824.7945206756","29722.8110310764","30803.5737270933","32307.8120015118","36933.7695676731","40253.5846991659","36728.1787445318","36309.1058843981","38241.8043550171","36970.2063650066","38775.6098478797","39500.8384812424","33795.3187470087","34524.0415605418","36431.3549808128","38835.4128938251","",
"Benin","BEN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","106.397257251184","127.930893045878","154.404918854119","166.679257640754","196.774812535834","195.406294654785","205.504299903962","246.565323195878","306.968721366023","352.806229531533","316.545096321704","296.594497123668","244.840328574377","222.508925783131","217.987348823828","274.115846073233","308.818251343261","313.348537218241","275.296486501113","348.944268714001","343.000014579624","270.939045270609","355.607007210637","233.066694800547","304.693990228871","316.701855955841","298.261258505845","315.545037944671","462.439072874664","431.577976390065","438.162945205005","485.605264075928","602.83776359847","680.176716858696","704.121464737011","726.8605990603","816.951897989665","949.978588555207","911.269857900453","869.912850669583","950.446474994509","961.476021183973","1051.92862794985","1081.8226428207","884.550792144933","881.362137458416","923.184751325748","1007.97756913022","",
"Burkina Faso","BFA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","263.981171337308","235.684950394017","224.753542890278","198.822456142049","175.900244810007","183.648264972546","233.403073452683","262.947735176838","281.654122749231","273.238741996947","314.050054037188","309.147226112495","211.308229974008","214.773353892168","164.693057181113","199.463074707331","214.013294091879","196.189525926014","219.219848326775","238.444851014363","205.853130755797","214.738751351467","238.253786926802","302.78516469394","333.11163104107","360.608351594821","370.449503888052","411.643474663819","484.482106605408","460.758066022522","454.610459823791","500.918658805661","517.331621254999","544.101242429383","538.873685709298","421.287159010499","411.850921970554","448.949743346296","532.564112079046","",
"Bangladesh","BGD","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","110.225868822479","168.43083929422","254.621641106587","128.997224957167","117.645802667068","158.872809920364","183.167315425343","208.491995167523","231.14091301244","205.556930905212","193.22668492946","202.535922357368","230.038917475303","219.27715176878","239.244039308795","254.441641286655","268.719567721333","287.017611756216","275.120878332427","276.048447972149","283.643968143211","283.867485456967","311.924841760156","371.992157100846","379.647046596358","385.446222630061","388.11637361034","396.83643190426","392.650651988588","394.444204198783","426.348418336457","455.92628511875","479.197776052797","488.851419494468","539.881589042905","622.944538226304","690.136931170033","769.242264184932","844.160884297817","870.078521415201","965.552695727689","1085.02588562661","1210.4749953112","1352.66681312243","1487.3795435838","1618.87430945938","",
"Bulgaria","BGR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1877.24007882069","1885.41099764884","1832.46779818621","1574.67357107869","1674.85670800804","1628.87189201009","1924.23372943555","2654.78699117737","2083.47783432247","2026.71310790649","1833.04534126661","953.368119034631","1027.8051429761","1077.64869751153","997.389353784056","2044.4447436805","1303.01688421886","1213.76070474309","1587.11242091729","1424.82335546871","1356.4391788489","1529.86174895834","1838.26945075878","2347.14522181605","2909.2612402203","3298.31951064803","3684.97669121505","4593.67825864991","5972.6269418957","5802.6335827805","5580.20391935443","6346.21617324608","6165.93769496246","6361.51526113744","6575.33252756964","5795.46077516961","6349.10559786069","7132.00163240118","8073.1867647171","",
"Bahrain","BHR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","6113.89150281015","7463.38064131006","7786.92810797984","7811.03331628116","7706.53616784181","5655.26018724882","4784.35740716116","5187.69277784786","5753.59883909914","5847.92690103863","7420.53224458417","8119.71590365027","7827.39262579515","7946.12398065112","8282.78991305663","8868.19028167602","9094.04736708232","8861.63366776584","8526.84847481638","8567.06660634434","11424.1119450665","10620.7550242116","10666.3921380021","11830.8315702359","13316.5365167763","15434.4797070037","16650.9748205441","18344.9835620077","19725.6821697622","15286.537647116","16636.8264340731","16790.9403834089","19925.2514650071","20612.574214458","20609.761284531","19047.9080314171","19365.2539102725","20225.4104929028","20149.7773800471","",
