,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,3,-,-,-,-,-,,v Ireland,Mohali,11 Mar 2011
1,2,-,10.0,37,1,0,0,,v Ireland,Mohali,11 Mar 2011
2,1,-,8.0,49,4,1,0,,v England,Chennai,17 Mar 2011
3,2,49,-,-,-,-,-,,v England,Chennai,17 Mar 2011
4,1,-,9.1,46,2,1,0,,v India,Chennai,20 Mar 2011
