,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,DNB,-,-,0,0,,v Pakistan,Nottingham,31 May 2019
1,2,34*,-,-,-,-,-,,v Pakistan,Nottingham,31 May 2019
2,1,-,DNB,-,-,1,0,,v Australia,Nottingham,6 Jun 2019
3,2,40,-,-,-,-,-,,v Australia,Nottingham,6 Jun 2019
4,0,TDNB,-,-,-,-,-,,v South Africa,Southampton,10 Jun 2019
