#,World Check Sanctions List,Data Links,Type,Data Available?,Global/Local,link/URL,Scrapper Available/ Not Available,Developer,Status
370,USA - HHS - Dept of Health & Human Services,https://www.fincen.gov,,,Global,https://www.fincen.gov,Scrapper Not Available,,
371,USA - HHS-CMP - Department of Health & Human Services - Civil Monetary Penalties,https://www.fincen.gov,,,Global,https://www.fincen.gov,Scrapper Not Available,,
372,USA - IMMIGRATION & CUSTOMS ENFORCEMENT - ICE,https://www.fincen.gov,,,Global,https://www.fincen.gov,Scrapper Not Available,,
373,"USA - INKSNA - Bureau of Verification, Compliance & Implementation - Iran, N Korea & Syria Nonproliferation",https://www.treasury.gov/resource-center/sanctions/Programs/pages/sudan.aspx,,,Global,https://www.treasury.gov/resource-center/sanctions/Programs/pages/sudan.aspx,Scrapper Not Available,,
374,USA - NAT. CREDIT UNION ADMIN - USNCUA,https://www.fincen.gov,,,Global,https://www.fincen.gov,Scrapper Not Available,,
375,USA - NATIONAL FUTURES ASSOC. - NFA,https://www.fincen.gov,,,Global,https://www.fincen.gov,Scrapper Not Available,,
376,USA - NEW YORK STOCK EXCHANGE - NYSE,https://www.fincen.gov,,,Global,https://www.fincen.gov,Scrapper Not Available,,
377,USA - OFAC CIVIL PENALTIES - CIVPEN,https://www.fincen.gov,,,Global,https://www.fincen.gov,Scrapper Not Available,,
378,USA - OFFICE OF THRIFT SUPERVISION - OTS,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
379,USA - POSTAL INSPECTION SERVICE - USPS,https://www.treasury.gov/about/history/Pages/ots.aspx,,,Global,https://www.treasury.gov/about/history/Pages/ots.aspx,Scrapper Not Available,,
380,USA - PUBLIC COMPANY ACCOUNTING OVERSIGHT BOARD - PCAOB,https://postalinspectors.uspis.gov,,,Global,https://postalinspectors.uspis.gov,Scrapper Not Available,,
381,USA - SDTEL -State Dept. Terrorist Excl. List.,https://www.thedailybeast.com/will-iran-sell-out-al-qaeda-for-nukes,,,Local,https://www.thedailybeast.com/will-iran-sell-out-al-qaeda-for-nukes,Scrapper Not Available,,
382,USA - SECURITIES EXCHANGE COMM - SEC,https://www.sec.gov,,,Global,https://www.sec.gov,Scrapper Not Available,,
383,USA - SECURITIES EXCHANGE COMM - UNREG SOLICITING ENTITIES - SEC-PAUSE,https://www.sec.gov,,,Global,https://www.sec.gov,Scrapper Not Available,,
384,USA - SPECIAL INSPECTOR GENERAL FOR IRAQ RECONSTRUCTION - USSIGIR,https://www.globalsecurity.org/military/library/report/sigir/index.html,,,Local,https://www.globalsecurity.org/military/library/report/sigir/index.html,Scrapper Not Available,,
385,USA - STATE DEPT - IRAN THREAT REDUCTION & SYRIA HUMAN RIGHTS ACT - ITRSHRA,http://uscode.house.gov/view.xhtml?path=/prelim@title22/chapter94&edition=prelim,,,Global,http://uscode.house.gov/view.xhtml?path=/prelim@title22/chapter94&edition=prelim,Scrapper Not Available,,
386,"USA - STATE INSURANCE DEPT, NY - NYSID",https://www.dfs.ny.gov/insurance/dfs_insurance.htm,,,Local,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,Scrapper Not Available,,
387,USA - UKR-EO13662 - Sectoral Sanctions Identifications List.,https://www.treasury.gov/resource-center/sanctions/SDN-List/Pages/ssi_list.aspx,,,Global,https://www.treasury.gov/resource-center/sanctions/SDN-List/Pages/ssi_list.aspx,Scrapper Not Available,,
388,USA - US BUREAU OF INDUSTRY & SECURITY - EXPORT VIOLATIONS - USBIS-EV,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,,,Local,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,Scrapper Not Available,,
389,USA - US BUREAU OF INTERNATIONAL NARCOTICS AND LAW ENFORCEMENT - USINL,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,,,Local,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,Scrapper Not Available,,
390,"USA - US DEPARTMENT OF LABOR, OFFICE OF LABOR - MANAGEMENT STANDARDS - USDOL-OLMS",https://www.dfs.ny.gov/insurance/dfs_insurance.htm,,,Local,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,Scrapper Not Available,,
391,USA - US MARSHALLS,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,,,Local,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,Scrapper Not Available,,
392,USA - USATF - Bureau of Alcohol Tobacco Firearms & Explosives,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,,,Local,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,Scrapper Not Available,,
393,USA - USCFPB - US Consumer Financial Protection Bureau,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,,,Local,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,Scrapper Not Available,,
394,USA - USCG-PV - US Coast Guard Prohibited Vessels,https://www.usmarshals.gov/history/directors.htm,,,Local,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,Scrapper Not Available,,
395,USA - USDOJ EXECUTIVE OFFICE FOR IMMIGRATION REVIEW - DISCIPLINED PRACTITIONERS LIST - USDOJ-EOIR,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,,,Local,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,Scrapper Not Available,,
396,"USA - USDOL-EBSA - US Department of Labor, Employee Benefits Security Administration",https://www.dfs.ny.gov/insurance/dfs_insurance.htm,,,Local,https://www.dfs.ny.gov/insurance/dfs_insurance.htm,Scrapper Not Available,,
397,USA - USEMBARGO - Country or Region Sanctions.,https://www.bscn.nl/sanctions-consulting/sanctions-list-countries,,,Global,https://www.treasury.gov/resource-center/sanctions/Programs/Pages/Programs.aspx,Scrapper Not Available,,
398,USA - USFHFA - US Federal Housing Finance Agency,https://www.usa.gov/federal-agencies/u-s-department-of-housing-and-urban-development,,,Local,https://www.usa.gov/federal-agencies/u-s-department-of-housing-and-urban-development,Scrapper Not Available,,
399,USA - USHUD - US Department of Housing and Urban Development,https://www.usa.gov/federal-agencies/u-s-department-of-housing-and-urban-development,,,Local,https://www.usa.gov/federal-agencies/u-s-department-of-housing-and-urban-development,Scrapper Not Available,,
400,USA - USSAG - US State Attorneys General,https://en.wikipedia.org/wiki/State_attorney_general,,,Local,https://www.usa.gov/state-attorney-general,Scrapper Not Available,,
401,USA - USSIGAR - Special Inspector General for Afghanistan Reconstruction,https://www.sigar.mil,,,Global,https://www.sigar.mil,Scrapper Not Available,,
402,USA - USSPSC - US State Prohibited or Scrutinized Companies,https://www.dms.myflorida.com/business_operations/state_purchasing/vendor_information/convicted_suspended_discriminatory_complaints_vendor_lists/scrutinized_list_of_prohibited_companies,,,Local,https://www.state.gov/t/isn/c15231.htm,Scrapper Not Available,,
403,USA - USTREAS.311 - Patriot Act Section 311.,https://www.ballardspahr.com/people.aspx?query=true,,,Global,https://www.treasury.gov/press-center/press-releases/Pages/tg1056.aspx,Scrapper Not Available,,
404,USA - VEPTRE-WC - Venezuela Prohibited Transactions Relevant Entity World-Check Data,https://www.refinitiv.com/en/products/world-check-kyc-screening,,,Global,http://financial-risk-solutions.thomsonreuters.info/WC1Watchlist,Scrapper Not Available,,
405,UZBEKISTAN - UZGUVD - Department of Internal Affairs of Tashkent - Wanted,http://enews.fergananews.com/article.php?id=2574,,,Local,https://mfa.uz/en/about/services/,Scrapper Not Available,,
406,UZBEKISTAN - UZMVD - Ministry of Internal Affairs of Uzbekistan - Wanted,http://enews.fergananews.com/article.php?id=2574,,,Local,https://mfa.uz/en/about/services/,Scrapper Not Available,,
407,VIET NAM - STATE SECURITIES COMMISSION OF VIETNAM - SSCVN,https://english.vietnamnet.vn/fms/government/206578/ministry-of-public-security-undergoes-major-reshuffle.html,,,Global,http://www.ssc.gov.vn/ubck/faces/en/enmenu/enpages_home;jsessionid=2QhGcY2RLQs1GpddpHW8nF5LsNKDLpdWzZFlLGY8gLQ83CDyLKsR!-218154759!1051019581?_afrLoop=43615297559312902&_afrWindowMode=0&_afrWindowId=19396#%40%3F_afrWindowId%3D19396%26_afrLoop%3D43615297559312902%26_afrWindowMode%3D0%26_adf.ctrl-state%3D2wrlv7mra_4,Scrapper Not Available,,
408,VIETNAM - VNMPS-MW - Ministry of Public Security of Vietnam - Most Wanted,https://www.interpol.int/Member-countries/Asia-South-Pacific/Vietnam,,,Local,http://www.ssc.gov.vn/ubck/faces/en/enmenu/enpages_home;jsessionid=2QhGcY2RLQs1GpddpHW8nF5LsNKDLpdWzZFlLGY8gLQ83CDyLKsR!-218154759!1051019581?_afrLoop=43615297559312902&_afrWindowMode=0&_afrWindowId=19396#%40%3F_afrWindowId%3D19396%26_afrLoop%3D43615297559312902%26_afrWindowMode%3D0%26_adf.ctrl-state%3D2wrlv7mra_4,Scrapper Not Available,,
409,VIETNAM - VNMPS-TERR - Ministry of Public Security of Vietnam - Terrorism List,https://www.interpol.int/Member-countries/Asia-South-Pacific/Vietnam,,,Local,http://www.ssc.gov.vn/ubck/faces/en/enmenu/enpages_home;jsessionid=2QhGcY2RLQs1GpddpHW8nF5LsNKDLpdWzZFlLGY8gLQ83CDyLKsR!-218154759!1051019581?_afrLoop=43615297559312902&_afrWindowMode=0&_afrWindowId=19396#%40%3F_afrWindowId%3D19396%26_afrLoop%3D43615297559312902%26_afrWindowMode%3D0%26_adf.ctrl-state%3D2wrlv7mra_4,Scrapper Not Available,,
