#,World Check Sanctions List,Data Links,Type,Data Available?,Global/Local,link/URL,Scrapper Available/ Not Available,Developer,Status
51,CANADA - RCMP,http://www.rcmp-grc.gc.ca/en/wanted?term_node_tid_depth=All&term_node_tid_depth_1=All&term_node_tid_depth_2=All,Webpage,Data,Local,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,Scrapper Not Available,Muhammad Ilyas,
52,CANADA - SECBC - British Columbia Securities Comm.,https://www.bcsc.bc.ca/About_Issuers/Reporting_Issuers_List/,Webpage,Data,Local,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,Scrapper Not Available,Amir saleem,Done
53,"CANADA - REG. POLICE SERVICE, YORK - YRPS",http://www.criminaljustice.ny.gov/missing/index.htm#/missing-alert,Webpage,Data,Local,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,Scrapper Available,,
54,CAYMAN ISLANDS - MONETARY AUTH. - CIMA,https://www.cima.ky/search-entities,Webpage,Data,Local,https://www.cima.ky,Scrapper Not Available,,
55,CHILE - CLSBIF - Chilean Superintendency of Banks and Financial Institiutions,https://www.bnamericas.com/en/company-profile,Webpage,Data,Local,https://www.bnamericas.com/company-profile/en/superintendencia-de-bancos-e-instituciones-financieras-chile-sbif-superintendencia-de-bancos-e-instituciones-financieras-chile-sbif,Scrapper Not Available,Shahzaib,
58,CHINA - CSRC - China Securities Regulatory Commission.,http://www.csrc.gov.cn/pub/csrc_en/newsfacts/release/201402/t20140228_244512.html | http://www.csrc.gov.cn/pub/csrc_en/participants/FundsRelatedList/FCB/ | http://www.csrc.gov.cn/pub/csrc_en/newsfacts/release/201402/t20140228_244517.html | http://www.csrc.gov.cn/pub/csrc_en/about/organ | http://www.csrc.gov.cn/pub/csrc_en/OpeningUp/RelatedLists//Regionaloffices/200811/t20081122_95852.html,Proxy IP required  of China,,Local,https://uk.practicallaw.thomsonreuters.com/3-524-1535?transitionType=Default&contextData=(sc.Default)&firstPage=true&comp=pluk&bhcp=1,Scrapper Not Available,,
62,CHINA - CNCCDI-WANTED - Central Commission for Discipline Inspection - Most Wanted,https://money.cnn.com/2015/04/23/news/china-most-wanted-economic-fugitives/index.html,,,Local,https://thediplomat.com/2018/05/whats-so-controversial-about-chinas-new-anti-corruption-body/,Scrapper Not Available,,
65,CHINA - CNSAT - China State Administration of Taxation,http://www.chinatax.gov.cn/2013/n2925/,,,Local,http://www.chinatax.gov.cn/2013/n2925/,Scrapper Not Available,,
66,CHINA - CNSPC - China Supreme People's Court,http://english.court.gov.cn,,,Local,http://english.court.gov.cn,Scrapper Not Available,,
67,CHINA - CNSPP - China Supreme People's Procuratorate,http://www.china.org.cn/english/features/state_structure/64414.htm,,,Local,http://www.china.org.cn/english/features/state_structure/64414.htm,Scrapper Not Available,,
68,CHINA - CNSSE - SHANGHAI STOCK EXCHANGE,http://english.sse.com.cn/listed/company/,,,Local,http://www.china.org.cn/english/features/state_structure/64414.htm,Scrapper Not Available,,
69,CHINA - CSRC-ALERT - China Securities Regulatory Commission - Alert,http://www.china.org.cn/english/features/state_structure/64414.htm,Refer CHINA - CSRC - China Securities Regulatory Commission.,,Local,http://www.china.org.cn/english/features/state_structure/64414.htm,Scrapper Not Available,,
70,CHINA - PBC - People's Bank of China - United Nations Sanctions.,http://www.apgml.org/members-and-observers/members/details.aspx?m=cb329e3b-4dab-46af-89b3-bee66576271b,,,Global,http://www.apgml.org/members-and-observers/members/details.aspx?m=cb329e3b-4dab-46af-89b3-bee66576271b,Scrapper Not Available,,
71,CHINA - PBC-ETIM - People's Bank of China - Eastern Turkistan Islamic Movement,https://www.un.org/sc/suborg/en/sanctions/1267/aq_sanctions_list/summaries/entity/eastern-turkistan-islamic-movement,,,Global,https://www.un.org/sc/suborg/en/sanctions/1267/aq_sanctions_list/summaries/entity/eastern-turkistan-islamic-movement,Scrapper Not Available,,
72,COLOMBIA - AMVC - Autorregulador del Mercador de Valores,https://www.amvcolombia.org.co,,,Local,https://www.amvcolombia.org.co,Scrapper Not Available,,
73,COLOMBIA - BVC - Bolsa De Valores De Colombia,https://www.bvc.com.co/pps/tibco/portalbvc/Home/Mercados/enlinea/acciones,,,Local,https://www.bvc.com.co/pps/tibco/portalbvc/Home/Mercados/enlinea/acciones,Scrapper Not Available,,
74,COLOMBIA - COANLA - National Authority of Environmental Licenses,https://www.investincolombia.com.co/publication/manual-of-environmental-licensing.html,,,Local,https://www.investincolombia.com.co/publication/manual-of-environmental-licensing.html,Scrapper Not Available,,
75,COLOMBIA - COCGR - Comptroller Generals Office of Colombia,http://www.exe.cl/en/contraloria-general-de-la-republica/,,,Local,http://www.exe.cl/en/contraloria-general-de-la-republica/,Scrapper Not Available,,
76,COLOMBIA - CODIAN - National Directorate of Taxes and Customs,https://uk.practicallaw.thomsonreuters.com/2-530-3166?transitionType=Default&contextData=(sc.Default)&firstPage=true&comp=pluk&bhcp=1,,,Local,https://uk.practicallaw.thomsonreuters.com/2-530-3166?transitionType=Default&contextData=(sc.Default)&firstPage=true&comp=pluk&bhcp=1,Scrapper Not Available,,
77,COLOMBIA - COPGO - Prosecutor Generals Office of Colombia,https://co.usembassy.gov/embassy/bogota/sections-offices/department-of-justice/,,,Local,https://co.usembassy.gov/embassy/bogota/sections-offices/department-of-justice/,Scrapper Not Available,,
78,COLOMBIA - COPOL - Colombian National Police,https://www.como.gov/police/crime-data/ | https://www.como.gov/police/missing/?doing_wp_cron=1545980094.0971620082855224609375,,,Local,https://en.wikipedia.org/wiki/National_Police_of_Colombia,Scrapper Not Available,,
79,COLOMBIA - COSFC - Financial Superintendence of Colombia,https://en.superfinanciera.gov.co/jsp/index.jsf,,,Local,https://en.superfinanciera.gov.co/jsp/index.jsf,Scrapper Not Available,,
80,COSTA RICA - CRSGV - General Superintendence of Securities of Costa Rica,https://www.centralamericadata.com/en/resources/companies?sort=ResourceCompanyprofile_name_k+asc&q1=country_en_le%3A%22Costa+Rica%22&start=10,,,Local,"https://www.centralamericadata.com/en/search?q1=content_en_le:""Insurance+Superintendency+%28Costa+Rica%29""&q2=mattersInCountry_es_le:""Costa+Rica""",Scrapper Not Available,,
81,CURACAO - BNA - Central Bank of Curacao and Sint Maarteen -Bank Warning Notices,https://www.centralbank.cw/warning-notices,,,Local,http://www.theprovince.com/travel/destinations/caribbean-and-the-atlantic/caribbean/curacao/traveloverview.html,Scrapper Not Available,,
82,CYPRUS - CSEC - Cyprus Securities & Exchange Commission.,https://www.cysec.gov.cy/en-GB/entities/investment-firms/cypriot/ | https://www.cysec.gov.cy/en-GB/entities/investment-firms/,,,Global,https://www.cysec.gov.cy/en-GB/home/,Scrapper Not Available,,
83,CZECH - CZUOHS - Czech Office for the Protection of Competition,https://www.cnb.cz/en/supervision_financial_market/,,,Global,https://www.cnb.cz/en/supervision_financial_market/,Scrapper Not Available,,
84,CZECH - SECURITIES COMM. - CSC,http://www.forex.pk/security-commissions.php,,,Global,https://www.cnb.cz/en/supervision_financial_market/,Scrapper Not Available,,
85,CZECH REPUBLIC - CZCNB - Czech National Bank,https://www.esma.europa.eu/supervision/credit-rating-agencies/risk,,,Local,https://www.cnb.cz/en/supervision_financial_market/,Scrapper Not Available,,
86,CZECH REPUBLIC - CZFAA-TERR - Czech Financial Analytical Authority,https://apl.cnb.cz/apljerrsdad/JERRS.WEB15.BASIC_LISTINGS_RESPONSE,,,Global,https://www.cnb.cz/en/supervision_financial_market/,Scrapper Not Available,,
87,CZECH REPUBLIC - CZPOL - Czech Police - Wanted,https://eumostwanted.eu/,,,Local,https://www.cnb.cz/en/supervision_financial_market/,Scrapper Not Available,,
88,EC-AIRPORT - Embargoed Country or Region - Airport,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,,,Local,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
89,EC-PRT - Embargoed Country or Region - Port,https://www.tarleton.edu/osp/documents/export-control/embargoed-sanctioned-countries.pdf,,,Local,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
90,ECUADOR - ECSCVS - Superintendence of Companies Securities and Insurance,https://www.bce.fin.ec/en/,,,Global,https://www.bce.fin.ec/en/,Scrapper Not Available,,
91,ECUADOR - ECSRI - Ecuador Internal Revenue Service,http://www.sri.gob.ec/web/guest/empresas-inexistentes,,,Global,https://www.bce.fin.ec/en/,Scrapper Not Available,,
92,ECVES - Embargoed Country or Region Maritime Vessel,https://www.eckertseamans.com/stay-informed/blogs/aviation/concerns-re-exporting-aircraft-and-aircraft-parts-to-embargoed-countries,,,Local,https://www.bscn.nl/sanctions-consulting/sanctions-list-countries,Scrapper Not Available,,
93,EMBARGOED COUNTRY AIRCRAFT - ECAIR,http://www.rpi.edu/counsel/U.S.-Embargoed-Countries.pdf,,,Global,https://www.bscn.nl/sanctions-consulting/sanctions-list-countries,Scrapper Not Available,,
94,ESTONIA - EEFI - Estonian Financial Supervision Authority,https://www.fi.ee/et/hoiatusteated,,,Global,https://www.fi.ee/et?id=12264&year=2004,Scrapper Not Available,,
95,EU - EDES - EU Early Detection Exclusion System,http://ec.europa.eu/budget/edes/index_en.cfm,,,Global,http://ec.europa.eu/budget/explained/management/protecting/protect_en.cfm,Scrapper Not Available,,
96,EU - EU - European Union Sanctions.,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=LEGISSUM%3A0603_3,,,Global,https://ec.europa.eu/fpi/what-we-do/sanctions_en,Scrapper Not Available,,
97,"EU - EU-DRC - Asset Freeze D.R. Congo - 2005/440/CFSP, EC 889/2005.",https://www.gov.im/news/2018/oct/26/financial-sanctions-democratic-peoples-republic-of-korea-north-korea/,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
98,"EU - EU-EGY - Asset Freeze Egypt - 2011/172/CFSP, EU 270/2011",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
99,EU - EUEMBARGO - Country or region Embargo.,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
100,EU - EUFSR-RUS - European Union - Financial Services Restrictions Art 2 and 5 - EU 833/2014,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
101,EU - EUFSR-SYR - European Union - Financial Services Restrictions Art 24/25 - EU 36/2012,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
102,EU - EU-GNB - Asset Freeze and Travel Ban - Rep. of Guinea-Bissau - 2012/237/CFSP. EU 377/2012,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
103,EU - EU-HRTC - High Risk Third Countries - Regulation (EU) 2016/1675,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2016.254.01.0001.01.ENG,Scrapper Not Available,,
104,"EU - EU-IRN - Asset Freeze Iran - 2007/140/CFSP, EC 423/2007.",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/en/TXT/?uri=celex%3A32012R0267,Scrapper Not Available,,
105,"EU - EU-IRQ - Asset Freeze Iraq - 2003/495 CFSP, EC 1210/2003.",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
106,"EU - EU-LBY - Asset Freeze Libya - 2011/137/CFSP, EU 204/2011",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
107,"EU - EU-MY - Fin. Restrictions Myanmar - 2004/423/CFSP, EC 817/2006.",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
108,"EU - EUMY-LTM - Myanmar Logging, Timber & Mining Enterprises.",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
109,EU - EUNCJ-TAX - EU Non Cooperative Jurisdictions -Tax,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/en/TXT/?uri=CELEX:52002DC0778,Scrapper Not Available,,
110,"EU - EU-S - Asset Freeze Sudan - 2005/411/CFSP, EC 1184/2005.",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
111,"EU - EU-SOM - Asset Freeze Somalia - 2009/138/CFSP, EU 356/2010",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
112,EU - EU-SS - Asset Freeze South Sudan - South Sudan,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
113,"EU - EU-SYR - Asset Freeze and Travel Ban Syria - 2011/273/CFSP, EU 442/2011, EU 36/2012",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
114,EU - EU-TA - Asset Freeze and Travel Ban - Taliban - 2011/486/CFSP. EU 753/2011,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
115,"EU - EU-TAF - Terror Asset Freeze - 2001/931/CFSP, EC 2580/2001.",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
116,EU - EUTB - Travel Ban,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
117,"EU - EUTB-BLR - Travel Ban Belarus - 2006/276/CFSP, EC 765/ 2006.",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
118,EU - EUTB-FYROM - Travel Ban FYROM - 2004/133/CFSP.,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
119,EU - EUTB-GN - Travel Ban Republic of Guinea - 2009/788/CFSP,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
120,EU - EUTB-ICTY - Travel Ban ICTY 2004/293/CFSP.,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
121,EU - EUTB-LBY - Libya - 2011/137/CFSP,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
122,EU - EUTB-MD - Travel Ban Moldova - 2004/179/CFSP.,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
123,"EU - EUTB-MY - Travel Ban Myanmar - 2004/423/CFSP, EC 817/2006.",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
124,"EU - EUTB-ZIM - Travel Ban Zimbabwe - 2002/145/CFSP, EC 314/2004.",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
125,EU - EU-TCO - Terror Co-operation -2001/931/CFSP -,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
126,"EU - EU-UKR - Asset Freeze - Ukraine - 2014/119/CFSP, 208/2014",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
127,"EU - EU-UKR2 - Asset Freeze and Travel Ban - Ukraine - 2014/145/CFSP, EU 269/2014",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/GA/TXT/?uri=CELEX:32014R0269,Scrapper Not Available,,
128,"EU - EU-VE - Asset freeze Venezuela - CFSP 2017/2074, EC 2017/2063",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R2063&from=HR,Scrapper Not Available,,
129,"EU - EU-YEM -Yemen - Asset Freeze and Travel Ban 2014/932/CFSP, 1352/2014",https://www.un.org/securitycouncil/sanctions/2140,,,Global,https://www.consilium.europa.eu/en/press/press-releases/2017/01/27/sanctions-tunisia/#,Scrapper Not Available,,
130,"EU - EU-ZIM - Asset Freeze Zimbabwe - 2002/145/CFSP, EC 314/2004.",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://www.consilium.europa.eu/en/press/press-releases/2017/01/27/sanctions-tunisia/#,Scrapper Not Available,,
131,"EU- EU-GN - Asset Freeze - Republic of Guinea - 2009/788/CFSP, EU1284/2009",https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://www.consilium.europa.eu/en/press/press-releases/2017/01/27/sanctions-tunisia/#,Scrapper Not Available,,
132,EU -EU-TUN - Asset Freeze Tunisia -2011/72/CFSP,https://www.gov.uk/government/publications/financial-sanctions-consolidated-list-of-targets/consolidated-list-of-targets,,,Global,https://www.gov.uk/government/publications/financial-sanctions-tunisia,Scrapper Not Available,,
133,FINLAND - FINBI - Finnish National Bureau of Investigation,https://www.poliisi.fi/services/private_security_sector/list_of_private_security_companies |,Private Companies list found,,Local,https://www.poliisi.fi/en/national_bureau_of_investigation,Scrapper Not Available,,
134,GERMANY - BAFIN,https://www.bafin.de/SharedDocs/Standardartikel/EN/Unternehmensdatenbank/li_fidi_zugel_gesamt_en.html?nn=7856472 | https://www.bafin.de/SharedDocs/Standardartikel/EN/Unternehmensdatenbank/li_fidi_leas_fac_en.html?nn=7856472https://www.bafin.de/SharedDocs/Standardartikel/EN/Unternehmensdatenbank/li_fidi_zugel_gesamt_en.html?nn=7856472,Company list founded,,Local,https://www.bafin.de/EN/Homepage/homepage_node.html,Scrapper Not Available,,
135,HONG KONG - HKEX - Hong Kong Stock Exchange,http://www3.hkexnews.hk/listedco/listconews/mainindex/SEHK_LISTEDCO_DATETIME_TODAY.HTM,,,Global,https://www.hkex.com.hk/Services/Trading-hours-and-Severe-Weather-Arrangements/Trading-Hours/Securities-Market?sc_lang=en,Scrapper Not Available,,
136,HONG KONG - HKFSC-ALERT - H K Sec. and Futures Comm.- Investor Alert.,https://www.sfc.hk/web/EN/alert-list/,,,Local,https://www.sfc.hk/web/EN/alert-list/,Scrapper Not Available,,
137,HONG KONG - HKMA- Hong Kong Monetary Authority.,https://www.search.gov.hk/result?a_submit=false&ui_lang=en&ui_charset=utf-8&tpl_id=hkma_r2&web=this&gp0=hkma_r2_home&gp1=hkma_r2_home&fromindex=1&txtonly=0&is_init=true&query=List&x=0&y=0,,,Local,https://www.hkma.gov.hk/eng/index.shtml,Scrapper Not Available,,
138,HONG KONG - IND. COMM. AGAINST CORRUPTION - ICACHK,https://www.icac.org.hk/en/about/aodp/index.html,,,Local,https://www.hkma.gov.hk/eng/index.shtml,Scrapper Not Available,,
139,INDIA - CENTRAL BUREAU OF INVESTIGATION - CBII,http://cbi.gov.in/wanted/wanted.php,,,Local,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
140,INDIA - IMHA-BTO - India Ministry of Home Affairs - Banned Terrorist Organisations.,http://www.nia.gov.in/banned-terrorist-organisations.htm,,,Global,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
141,INDIA - INDIAN NATIONAL INVESTIGATION AGENCY - INNIA,http://www.nia.gov.in/banned-terrorist-organisations.htm,,,Global,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
142,INDIA - INIRDAI - Insurance Regulatory and Development Authority of India,http://www.nia.gov.in/most-wanted.htm,,,Global,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
143,INDIA - INMCA-DD - India Ministry of Corporate Affairs - Disqualified Directors (Section 274),http://www.mca.gov.in/MinistryV2/disqualifieddirectorslist.html,,,Global,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
144,INDIA - INMCA-DD2 - India Ministry of Corporate Affairs - Disqualified Directors (Section 164),http://www.mca.gov.in/MinistryV2/disqualifieddirectorslist.html,,,Global,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
145,INDIA - INMCA-MLM - India Ministry of Corporate Affairs - Multi-Level Marketing,http://www.mca.gov.in/MinistryV2/underalert.html,,,Local,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
146,INDIA - INMCA-SC - India Ministry of Corporate Affairs - Struck off Companies (Section 248),http://www.mca.gov.in/mcafoportal/checkLLPName.do,,,Local,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
147,INDIA - INMCAVC - India Ministry Of Corporate Affairs - Vanishing Companies,http://www.mca.gov.in/MinistryV2/vanish_companies.html,,,Local,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
148,INDIA - INNCB - India Narcotics Control Bureau,https://mha.gov.in/commoncontent/list-ncb-contact-points,,,Local,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
149,INDIA - INTDL - India Tax Defaulters List,https://www.incometaxindia.gov.in/Pages/tax-defaulters.aspx,,,Local,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
150,INDIA - INWCCB - India Wildlife Crime Control Bureau,http://wccb.gov.in/Content/Convicts.aspx,,,Local,https://www.ndtv.com/topic/central-bureau-of-investigation-cbi-,Scrapper Not Available,,
151,INDIA - RESERVE BANK OF INDIA - RBI,https://rbi.org.in/scripts/BS_ViewMasCirculardetails.aspx?id=9848,,,Local,https://www.rbi.org.in,Scrapper Not Available,,
152,INDIA - RESERVE BANK OF INDIA - SANCTIONS NOTICES - RBI-SANC,https://rbi.org.in/Scripts/OccasionalPublications.aspx?head=Reserve%20Bank%20of%20India%20Act,,,Global,https://www.rbi.org.in,Scrapper Not Available,,
153,INDIA - RESERVE BANK OF INDIA VANISHING NON-BANKING FINANCIAL COMPANIES - RBI-NBFC,https://m.rbi.org.in/Scripts/BS_NBFCList.aspx,,,Global,https://www.rbi.org.in,Scrapper Not Available,,
154,INDIA - SECURITIES & EXCHANGE BOARD - SEBI,https://www.bseindia.com/investors/debent.aspx?expandable=4,,,Global,https://www.sebi.gov.in,Scrapper Not Available,,
155,INTERNATIONAL - AZL-WC - Azerbaijani Laundromat - World-Check Data,https://www.refinitiv.com/en/products/world-check-kyc-screening,,,Global,https://www.theguardian.com/world/2017/sep/04/everything-you-need-to-know-about-the-azerbaijani-laundromat,Scrapper Not Available,,
156,INTERNATIONAL - DPRK-WC - North Korea - Relevant World-Check Data,https://www.refinitiv.com/en/products/world-check-kyc-screening,,,Global,https://www.reuters.com/north-korea,Scrapper Not Available,,
157,INTERNATIONAL - FIRSE-WC - Former Iran Sanctioned Entity World Check Data,https://www.refinitiv.com/en/products/world-check-kyc-screening,,,Global,https://www.treasury.gov/resource-center/faqs/Sanctions/Pages/faq_iran.aspx/t_blank,Scrapper Not Available,,
158,INTERNATIONAL - INSAE-50-WC - Entity owned 50% or more by a sanctioned individual/entity,https://www.refinitiv.com/en/products/world-check-kyc-screening,,,Global,https://www.treasury.gov/resource-center/faqs/Sanctions/Pages/faq_general.aspx,Scrapper Not Available,,
159,INTERNATIONAL - ISIS-WC - Islamic State - Relevant World-Check Data,https://www.refinitiv.com/en/products/world-check-kyc-screening,,,Global,https://www.independent.co.uk/news/world/middle-east/iraq-crisis-exclusive-isis-jihadists-using-world-cup-and-premier-league-hashtags-to-promote-9555167.html,Scrapper Not Available,,
160,INTERNATIONAL - PAICIJ-WC - International Consortium of Investigative Journalists - World-Check Data,https://www.refinitiv.com/en/products/world-check-kyc-screening,,,Global,https://www.icij.org,Scrapper Not Available,,
161,INTERNATIONAL - PPICIJ-WC - International Consortium Of Investigative Journalist Paradise Papers - World-Check Data,https://www.refinitiv.com/en/products/world-check-kyc-screening,,,Global,https://offshoreleaks.icij.org,Scrapper Not Available,,
162,INTERNATIONAL - RSSRE-50-WC - Subsidiary owned 50% or more by a Russian Sectoral Sanctioned company.,https://www.refinitiv.com/en/products/world-check-kyc-screening,,,Global,https://www.icij.org,Scrapper Not Available,,
163,INTERNATIONAL - RSSRE-DIR4-WC - Subsidiary owned by a Russian Sectoral Sanctioned company subject to Directive 4,https://www.refinitiv.com/en/products/world-check-kyc-screening,,,Global,https://www.icij.org,Scrapper Not Available,,
164,ISLE OF MAN - FIN. SUPERVISION COMM. - IOMFSC,https://paymentscompliance.com/authority/financial-supervision-commission-isle-man,,,Global,https://www.iomfsa.im,Scrapper Not Available,,
