mobiles,prices,currency,new_used,web
Samsung S8 Duos Maple Gold 64 G,8250,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Lg v10,2300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Not 5,2500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
ايفون,4500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
اوبوf5 معاه كل حاجة ولسه في الضمان مفيش خربوش,تبادل,تبادل,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Sony Xperia,400,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبايل htc820,1400,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
فون سامسونج j7 prime 2,3300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
هوت اس اينفنكس,1200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج ستار,200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Samsung j7 2015,1500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Samsung J7 prime Gold,2000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
ويكو ليني 3ماكس,1350,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبيل تيكنو,1100,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iPhone 6s Plus Gold 32 جديد. متبرشم سعر نهايي,8000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
جيوني p8w بيع او بدل,900,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج كور برايم للبيع,650,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Gr5 2016,1800,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Iphone 6 s,4000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Lenovo a 536,650,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
انفنكس هوت فور اندرويد عالي,700,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
شاومي نوت4 64جيجا رام4,2400,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
كسر زيرو +S8,8500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
تبديل بي هواوي او اوبو,تبادل,تبادل,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
تليفون لينوفو ٠٦٠ عايز شاشه,700,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Huawei mate 20. Pro,12000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
OppoA37,1750,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Huawei Y6 Pro بشريحتي اتصال الجيل الرابع ١٦ جيجابايت، ٢جيجا رام، اسود,1700,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Oppo a3s,2300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Iphone 6 16g,3000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
ايفون6,4000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Sonyc4 تبادل,تبادل,تبادل,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
I Phone 5s,2000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبايل انفنكس نوت 5 استعمال اسبوع فقط,3350,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
يحيي اشرف,1250,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Iphone 6S 64GB Space Grey,4200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iphone 7 plus 32,10000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
S7edeg,7500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iPhone 7 32G للبيع او للبدل,6300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
J730f,4000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Nova 3 zero,6300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Apple 7 iphone,6300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
ايفون 6s,3900,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
htc u11 plus,8500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Lenovo A5000,900,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
iphone 6 plus 128 giga,3000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
شاومى 8lite ازرق,3950,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
باب شريحة samsung S7 EDGE original,150,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Redmi,4000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
لواء وحيد,260,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
هواوي GR5 بصمة,تبادل,تبادل,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
i phone 6 64 giga,2500,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
موبايل سامسونج اصلي لعشاق التميز,300,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Sony Xperia Xa1 Ultra,4000,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
هواوي وسوني لقطه,1900,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج S8 بشرحتين بحالة جيدة استخدام شهرين وبجميع مشتملاته الاصلية,3990,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Samsung Galaxy A7 128Gb سعة التخزين 4Gb رامات ٣كاميرا خلفيه اساسيه ٢٤,5200,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
سامسونج جراند نيو بلاص زيروووو,850,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
Htc 828w,1600,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
انفنكس,1600,EGP,used,https://olx.com.eg/en/mobile-phones-accessories/mobile-phones/
