,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,0,-,-,-,-,-,,v Bangladesh,Port of Spain,17 Mar 2007
1,2,-,DNB,-,-,1,2,,v Bangladesh,Port of Spain,17 Mar 2007
2,1,29,-,-,-,-,-,,v Bermuda,Port of Spain,19 Mar 2007
3,2,-,DNB,-,-,1,0,,v Bermuda,Port of Spain,19 Mar 2007
4,1,-,DNB,-,-,3,0,,v Sri Lanka,Port of Spain,23 Mar 2007
