,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,1,2,0,15,15,7.50,26,57.69,0,0,3,0,0,0,1,1,108,40,2,2/40,2/40,20.00,2.22,54.0,0,0,0
1,ODIs,57,53,2,1271,87,24.92,1214,104.69,0,8,138,36,22,0,57,25,552,481,7,2/10,2/10,68.71,5.22,78.8,0,0,0
2,T20Is,52,49,7,1411,109*,33.59,871,161.99,3,9,104,92,15,0,52,12,118,186,4,1/12,1/12,46.50,9.45,29.5,0,0,0
3,First-class,48,74,4,3611,281,51.58,3655,98.79,13,15,405,137,21,0,48,56,3518,1596,58,4/36,5/73,27.51,2.72,60.6,1,0,0
4,List A,129,119,14,3694,174*,35.18,3318,111.33,6,22,379,122,52,0,129,62,1502,1369,22,3/45,3/45,62.22,5.46,68.2,0,0,0
5,T20s,220,207,27,5296,109*,29.42,3614,146.54,4,30,433,290,53,0,220,55,554,857,29,4/15,4/15,29.55,9.28,19.1,1,0,0
