,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,3,2,0,33,22,16.50,27,122.22,0,0,2,1,7,1,3,-,-,-,-,-,-,-,-,-,-,-,-
1,T20Is,11,10,1,181,84,20.11,112,161.60,0,1,13,14,7,2,11,-,-,-,-,-,-,-,-,-,-,-,-
2,First-class,41,70,6,2401,167*,37.51,4838,49.62,4,12,276,28,110,6,41,-,-,-,-,-,-,-,-,-,-,-,-
3,List A,34,33,3,716,104,23.86,799,89.61,1,4,58,15,48,5,34,-,-,-,-,-,-,-,-,-,-,-,-
4,T20s,61,53,7,1043,107,22.67,756,137.96,1,3,87,54,36,10,61,-,-,-,-,-,-,-,-,-,-,-,-
