,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,4,4,0,56,35,14.00,176,31.81,0,0,6,0,2,0,4,6,427,216,4,3/39,3/39,54.00,3.03,106.7,0,0,0
1,ODIs,9,5,2,79,49,26.33,77,102.59,0,0,5,2,2,0,9,8,270,246,10,3/33,3/33,24.60,5.46,27.0,0,0,0
2,T20Is,2,1,0,1,1,1.00,5,20.00,0,0,0,0,2,0,2,2,24,41,0,-,-,-,10.25,-,0,0,0
3,First-class,115,184,21,4183,195,25.66,8317,50.29,2,21,554,18,87,0,115,188,18220,10272,325,8/148,14/234,31.60,3.38,56.0,11,13,2
4,List A,75,58,13,1517,83,33.71,1690,89.76,0,13,136,17,21,0,75,68,3029,2663,75,4/22,4/22,35.50,5.27,40.3,1,0,0
5,T20s,58,33,14,254,37*,13.36,257,98.83,0,0,17,4,27,0,58,51,966,1149,40,3/18,3/18,28.72,7.13,24.1,0,0,0
