,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,22,10,5,51,19,10.20,56,91.07,0,0,3,3,7,0,22,22,1143,1061,34,5/68,5/68,31.20,5.56,33.6,0,1,0
1,T20Is,9,2,0,9,9,4.50,8,112.50,0,0,0,0,4,0,9,9,204,299,9,3/33,3/33,33.22,8.79,22.6,0,0,0
2,First-class,32,51,4,661,49,14.06,1137,58.13,0,0,64,16,10,0,32,61,6739,3341,99,5/69,9/124,33.74,2.97,68.0,7,1,0
3,List A,80,47,16,383,36,12.35,435,88.04,0,0,33,10,17,0,80,79,4274,3730,130,6/48,6/48,28.69,5.23,32.8,2,6,0
4,T20s,90,33,16,275,45,16.17,236,116.52,0,0,15,10,35,0,90,88,1933,2612,107,4/22,4/22,24.41,8.10,18.0,2,0,0
