,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,4,4,1,83,47*,27.66,99,83.83,0,0,7,1,1,0,4,3,42,59,0,-,-,-,8.42,-,0,0,0
1,T20Is,20,20,2,592,76,32.88,490,120.81,0,4,66,15,8,0,20,9,114,151,3,1/13,1/13,50.33,7.94,38.0,0,0,0
2,First-class,13,24,1,582,66,25.30,1041,55.90,0,3,80,2,11,0,13,20,909,630,18,3/78,4/43,35.00,4.15,50.5,0,0,0
3,List A,30,26,3,922,257,40.08,830,111.08,2,3,91,39,12,0,30,25,766,753,17,3/53,3/53,44.29,5.89,45.0,0,0,0
4,T20s,62,62,6,2114,122*,37.75,1552,136.21,1,16,218,77,21,0,62,40,518,706,21,2/17,2/17,33.61,8.17,24.6,0,0,0
