,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,11,5,3,19,11*,9.50,15,126.66,0,0,0,0,3,0,11,11,591,517,16,5/44,5/44,32.31,5.24,36.9,0,1,0
1,T20Is,7,-,-,-,-,-,-,-,-,-,-,-,4,0,7,6,96,117,7,4/21,4/21,16.71,7.31,13.7,1,0,0
2,First-class,31,45,13,389,39*,12.15,1084,35.88,0,0,39,6,11,0,31,54,5731,3006,126,9/37,14/89,23.85,3.14,45.4,10,6,2
3,List A,48,26,11,149,24*,9.93,262,56.87,0,0,9,1,11,0,48,48,2325,1917,65,5/27,5/27,29.49,4.94,35.7,1,2,0
4,T20s,61,12,8,75,26,18.75,69,108.69,0,0,6,1,20,0,61,59,1304,1566,74,4/21,4/21,21.16,7.20,17.6,2,0,0
