,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,2,1,0,1,1,1.00,7,14.28,0,0,0,0,0,0,2,4,306,123,6,3/26,5/45,20.50,2.41,51.0,0,0,0
1,ODIs,12,7,2,68,29,13.60,84,80.95,0,0,4,0,4,0,12,12,648,632,24,4/26,4/26,26.33,5.85,27.0,1,0,0
2,T20Is,9,3,2,13,7*,13.00,6,216.66,0,0,2,0,9,0,9,9,204,287,9,2/32,2/32,31.88,8.44,22.6,0,0,0
3,First-class,13,16,1,306,71,20.40,481,63.61,0,3,37,1,9,0,13,25,2647,1262,55,8/47,11/105,22.94,2.86,48.1,2,2,1
4,List A,29,14,5,153,29*,17.00,174,87.93,0,0,10,1,11,0,29,29,1580,1419,49,4/26,4/26,28.95,5.38,32.2,1,0,0
5,T20s,31,11,7,70,16,17.50,60,116.66,0,0,6,2,19,0,31,31,672,935,34,3/7,3/7,27.50,8.34,19.7,0,0,0
