,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,44,55,24,388,39,12.51,884,43.89,0,0,53,2,15,0,44,82,9575,4452,164,6/67,9/136,27.14,2.78,58.3,4,6,0
1,ODIs,44,13,11,37,11*,18.50,57,64.91,0,0,6,0,13,0,44,43,2294,1811,72,6/52,6/52,25.15,4.73,31.8,1,3,0
2,T20Is,7,-,-,-,-,-,-,-,-,-,-,-,1,0,7,7,168,269,8,4/30,4/30,33.62,9.60,21.0,1,0,0
3,First-class,79,94,34,732,43*,12.20,1659,44.12,0,0,104,4,29,0,79,146,15784,7383,290,6/50,9/136,25.45,2.80,54.4,10,7,0
4,List A,93,33,18,144,30,9.60,241,59.75,0,0,11,2,26,0,93,91,4959,3970,146,7/36,7/36,27.19,4.80,33.9,2,4,0
5,T20s,30,5,3,11,6*,5.50,23,47.82,0,0,0,0,5,0,30,30,695,901,37,4/30,4/30,24.35,7.77,18.7,1,0,0
