,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,29,26,6,804,85,40.20,874,91.99,0,4,86,5,34,5,29,-,-,-,-,-,-,-,-,-,-,-,-
1,T20Is,19,13,4,125,37*,13.88,101,123.76,0,0,10,4,11,5,19,-,-,-,-,-,-,-,-,-,-,-,-
2,First-class,29,53,5,1413,139,29.43,2572,54.93,2,7,154,10,107,2,29,-,-,-,-,-,-,-,-,-,-,-,-
3,List A,54,51,6,1521,92,33.80,1813,83.89,0,9,168,16,62,6,54,-,-,-,-,-,-,-,-,-,-,-,-
4,T20s,44,38,7,918,100,29.61,712,128.93,1,5,93,24,36,8,44,-,-,-,-,-,-,-,-,-,-,-,-
