,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,60,117,4,4074,196,36.05,8283,49.18,8,22,409,7,47,0,60,10,231,138,2,1/12,1/12,69.00,3.58,115.5,0,0,0
1,ODIs,25,21,2,489,97,25.73,675,72.44,0,4,43,0,7,0,25,2,16,18,0,-,-,-,6.75,-,0,0,0
2,First-class,160,279,21,11780,212,45.65,20423,57.68,37,53,1324,26,160,1,160,30,751,439,4,1/6,1/6,109.75,3.50,187.7,0,0,0
3,List A,128,120,10,3837,132,34.88,5055,75.90,6,23,374,11,60,0,128,6,82,63,3,2/13,2/13,21.00,4.60,27.3,0,0,0
4,T20s,34,33,1,543,80,16.96,499,108.81,0,3,68,3,17,1,34,-,-,-,-,-,-,-,-,-,-,-,-
