,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,6,10,0,203,75,20.30,278,73.02,0,1,21,4,1,0,6,8,954,653,11,4/63,4/151,59.36,4.10,86.7,1,0,0
1,ODIs,160,127,16,2208,140,19.89,1976,111.74,1,10,165,83,60,0,160,151,5675,5520,171,6/44,6/44,32.28,5.83,33.1,5,4,0
2,T20Is,79,70,21,1169,61,23.85,767,152.41,0,3,87,62,30,0,79,64,1054,1628,51,3/24,3/24,31.92,9.26,20.6,0,0,0
3,First-class,33,52,6,1409,113*,30.63,1633,86.28,1,8,133,54,24,0,33,52,3590,2299,56,5/69,6/139,41.05,3.84,64.1,2,1,0
4,List A,236,189,31,3517,140,22.25,3176,110.73,2,14,262,140,84,0,236,224,8578,8327,276,6/44,6/44,30.17,5.82,31.0,11,7,0
5,T20s,260,218,60,3181,84,20.13,2166,146.86,0,7,218,178,107,0,260,236,4157,5939,226,5/26,5/26,26.27,8.57,18.3,1,1,0
