,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,31,58,3,1754,165,31.89,3212,54.60,3,8,239,9,24,0,31,-,-,-,-,-,-,-,-,-,-,-,-
1,ODIs,235,223,17,6951,174*,33.74,9155,75.92,15,37,798,52,50,0,235,-,-,-,-,-,-,-,-,-,-,-,-
2,T20Is,26,26,1,407,47,16.28,330,123.33,0,0,42,12,2,0,26,-,-,-,-,-,-,-,-,-,-,-,-
3,First-class,145,247,12,9239,265*,39.31,,,23,38,,,111,1,145,,18,4,0,-,-,-,1.33,-,0,0,0
4,List A,381,364,24,11952,174*,35.15,15321,78.01,26,69,,,110,2,381,-,-,-,-,-,-,-,-,-,-,-,-
5,T20s,111,110,8,3037,124*,29.77,2341,129.73,2,18,322,109,32,5,111,-,-,-,-,-,-,-,-,-,-,-,-
