,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,2,2,1,17,9,17.00,38,44.73,0,0,1,0,0,0,2,2,84,79,1,1/45,1/45,79.00,5.64,84.0,0,0,0
1,T20Is,4,4,0,66,41,16.50,46,143.47,0,0,6,3,1,0,4,3,30,48,0,-,-,-,9.60,-,0,0,0
2,First-class,7,10,0,453,91,45.30,713,63.53,0,4,57,1,9,0,7,11,581,419,13,3/48,5/101,32.23,4.32,44.6,0,0,0
3,List A,24,19,4,634,91*,42.26,721,87.93,0,6,53,7,13,0,24,24,992,927,21,3/34,3/34,44.14,5.60,47.2,0,0,0
4,T20s,13,9,2,132,41,18.85,115,114.78,0,0,12,3,3,0,13,10,108,142,3,1/6,1/6,47.33,7.88,36.0,0,0,0
