,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,8.0,60,3,0,0,,v Afghanistan,Bristol,1 Jun 2019
1,2,DNB,-,-,-,-,-,,v Afghanistan,Bristol,1 Jun 2019
2,1,0*,-,-,-,-,-,,v West Indies,Nottingham,6 Jun 2019
3,2,-,10.0,58,1,1,0,,v West Indies,Nottingham,6 Jun 2019
4,1,-,6.0,50,0,0,0,,v India,The Oval,9 Jun 2019
