,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,2,4,3,20,18*,20.00,48,41.66,0,0,2,0,0,0,2,4,483,278,6,3/91,4/128,46.33,3.45,80.5,0,0,0
1,ODIs,17,3,2,0,0*,0.00,2,0.00,0,0,0,0,5,0,17,17,879,798,19,4/33,4/33,42.00,5.44,46.2,1,0,0
2,T20Is,14,3,2,0,0*,0.00,5,0.00,0,0,0,0,3,0,14,14,300,387,10,2/16,2/16,38.70,7.74,30.0,0,0,0
3,First-class,76,91,26,521,30*,8.01,1085,48.01,0,0,66,2,19,0,76,132,13873,7926,304,8/85,13/120,26.07,3.42,45.6,11,20,5
4,List A,93,32,15,123,15*,7.23,201,61.19,0,0,14,1,20,0,93,89,4291,3646,123,5/40,5/40,29.64,5.09,34.8,3,2,0
5,T20s,113,25,15,53,15*,5.30,96,55.20,0,0,1,1,16,0,113,108,2315,2779,116,4/10,4/10,23.95,7.20,19.9,3,0,0
