,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,36,59,7,1716,102*,33.00,3580,47.93,1,13,216,3,16,0,36,5,96,61,1,1/29,1/29,61.00,3.81,96.0,0,0,0
1,ODIs,2,2,0,161,113,80.50,170,94.70,1,0,18,1,1,0,2,-,-,-,-,-,-,-,-,-,-,-,-
2,First-class,140,234,29,7580,162,36.97,14523,52.19,14,40,954,35,76,0,140,22,482,313,7,2/34,2/34,44.71,3.89,68.8,0,0,0
3,List A,85,72,8,2014,117*,31.46,2436,82.67,3,8,157,20,19,0,85,1,3,4,0,-,-,-,8.00,-,0,0,0
4,T20s,61,53,10,1279,104,29.74,1009,126.75,1,5,112,26,27,0,61,-,-,-,-,-,-,-,-,-,-,-,-
