,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,46,74,10,2103,166,32.85,4544,46.28,6,8,250,13,38,0,46,57,2703,1601,42,4/47,4/51,38.11,3.55,64.3,2,0,0
1,ODIs,199,179,40,5117,150*,36.81,6052,84.55,4,27,347,75,82,0,199,135,3513,3143,69,4/16,4/16,45.55,5.36,50.9,1,0,0
2,T20Is,81,75,25,1934,96*,38.68,1532,126.24,0,11,138,71,35,0,81,41,463,599,21,3/18,3/18,28.52,7.76,22.0,0,0,0
3,First-class,108,174,27,6774,260*,46.08,13601,49.80,20,30,,,79,0,108,,5434,3162,77,5/108,,41.06,3.49,70.5,3,1,0
4,List A,274,244,49,7478,150*,38.34,8903,83.99,5,50,,,107,0,274,,4674,4059,93,4/16,4/16,43.64,5.21,50.2,1,0,0
5,T20s,252,236,73,6106,99*,37.46,5002,122.07,0,41,446,206,104,0,252,137,1785,2279,74,4/17,4/17,30.79,7.66,24.1,3,0,0
