,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,58,98,14,3608,137,42.95,7834,46.05,9,19,438,17,53,0,58,5,78,69,0,-,-,-,5.30,-,0,0,0
1,ODIs,143,136,20,5507,185,47.47,6215,88.60,12,35,495,66,81,0,143,11,192,189,2,1/8,1/8,94.50,5.90,96.0,0,0,0
2,T20Is,44,44,6,1363,119,35.86,1006,135.48,1,8,126,45,21,0,44,2,8,3,0,-,-,-,2.25,-,0,0,0
3,First-class,138,228,26,8207,176,40.62,,,17,50,,,128,0,138,,2558,1477,41,4/39,,36.02,3.46,62.3,3,0,0
4,List A,261,243,42,9472,185,47.12,10582,89.51,21,57,,,146,0,261,,2238,2030,54,4/47,4/47,37.59,5.44,41.4,1,0,0
5,T20s,204,188,20,4903,119,29.18,3866,126.82,1,29,440,142,100,0,204,52,790,917,50,5/19,5/19,18.34,6.96,15.8,1,2,0
