,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,37,52,9,507,34,11.79,1168,43.40,0,0,70,4,21,0,37,69,6830,3833,176,7/112,13/144,21.77,3.36,38.8,8,9,4
1,ODIs,75,28,12,259,31*,16.18,333,77.77,0,0,20,5,22,0,75,73,3842,3199,117,6/16,6/16,27.34,4.99,32.8,6,1,0
2,T20Is,19,4,2,5,5*,2.50,12,41.66,0,0,0,0,2,0,19,19,422,585,25,3/30,3/30,23.40,8.31,16.8,0,0,0
3,First-class,55,71,12,708,48*,12.00,1556,45.50,0,0,99,7,26,0,55,102,10358,5566,243,9/33,14/105,22.90,3.22,42.6,11,11,5
4,List A,93,38,15,308,31*,13.39,405,76.04,0,0,26,5,26,0,93,90,4750,4046,138,6/16,6/16,29.31,5.11,34.4,8,1,0
5,T20s,69,23,8,129,44,8.60,135,95.55,0,0,12,3,15,0,69,67,1503,1894,94,4/21,4/21,20.14,7.56,15.9,3,0,0
