Allegiance,Alma mater,Awards,Born,Children,Citizenship,Died,Education,Father,Height,Nickname(s),Parents,Police encounter,Profession,Rank,Relations,Relatives,Residence,Resting place
 Pakistan,,,,,,,,,,,,,, Major General,,,,
 Pakistan,,,,,,,,,,,,,, Major General,,,,
,University of Engineering and Technology of Peshawar(BEng and MEng)University of Peshawar(BA and MA),,"Farhatullah BabarPeshawar, North-West Frontier Province (now-Khyber-Pakhtunkhwa, West-Pakistan (present-day Pakistan)",,,,,,,,,,Chemical Engineer,,,,"Islamabad, Islamabad Capital Territory",
,,,,Shahzada Muhammad Asif Khan,,"(1983-09-00)September , 1983Sum Elai-Mang, Pakistan",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Harvard UniversityUniversity of Oxford,,"(1953-06-21)21 June 1953Karachi, Sindh, Pakistan",BilawalBakhtawarAseefa,,"27 December 2007(2007-12-27) (aged 54)Rawalpindi, Punjab, Pakistan",,,,,Zulfikar Ali Bhutto (Father)Nusrat Bhutto (Mother),,,,Bhutto familyZardari family,,,Bhutto family mausoleum
,,,,,,,,,,,,Resting place,,,,,,
,,," (1982-05-29) 29 May 1982 (age 36)Kabul, Afghanistan",,,,,,,,,,,,,Bhutto family,"Karachi, Pakistan",
,"Christ Church, Oxford",,"Bilawal Zardari[1] (1988-09-21) 21 September 1988 (age 30)Karachi, Sindh, Pakistan",,,,,,,,Asif Ali Zardari  Benazir Bhutto,,,,,Zardari family  Bhutto family,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Harvard UniversityUniversity of Oxford,,"(1953-06-21)21 June 1953Karachi, Sindh, Pakistan",BilawalBakhtawarAseefa,,"27 December 2007(2007-12-27) (aged 54)Rawalpindi, Punjab, Pakistan",,,,,Zulfikar Ali Bhutto (Father)Nusrat Bhutto (Mother),,,,Bhutto familyZardari family,,,Bhutto family mausoleum
,,,,,,,,,,,,Resting place,,,,,,
,,," (1982-05-29) 29 May 1982 (age 36)Kabul, Afghanistan",,,,,,,,,,,,,Bhutto family,"Karachi, Pakistan",
,"Christ Church, Oxford",,"Bilawal Zardari[1] (1988-09-21) 21 September 1988 (age 30)Karachi, Sindh, Pakistan",,,,,,,,Asif Ali Zardari  Benazir Bhutto,,,,,Zardari family  Bhutto family,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,"Khan Hasham bin Saddique (1960-04-01) April 1, 1960 (age 58)Karachi, Sindh, Pakistan",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Allahabad University,,"(1919-02-19)19 February 1919Jaora, Undivided India",Shaheda SultanNuzhat Sultan Khan Sultan Riaz Khan Sultan Shahid Khan.,,8 November 2010(2010-11-08) (aged 91),,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1969-12-07) 7 December 1969 (age 49)Shangla, Pakistan","3, including Malala Yousafzai",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Aitchison College LahoreCambridge University,," (1954-02-15) February 15, 1954 (age 64)Saidu Sharif, Swat (princely state), KPK",,,,,,,,Miangul Alamzeb,,,,Miangul Jahan Zeb(grandfather)Miangul Aurangzeb(father-in-law)Zebun Nisa Jilani (Sister),,Pakistan,
 Pakistan,,Nishan-i-Imtiaz (military)Order of King Abdulaziz,,,,,,,,Zubair,,,,General,,,,
,,," (1939-12-25) 25 December 1939 (age 79)Peshawar, Khyber Pakhtunkhwa",,,,,,,,,,,,Bashir Ahmad Bilour (brother)Haroon Bilour (nephew),,,
,Khyber Medical College  University of Edinburgh,," (1961-07-01) 1 July 1961 (age 57)Peshawar, Khyber Pakhtunkhwa, Pakistan",,,,,,,,Arbab Jehangir Khan (father),,,,,,,
,,,,,,,,,,,,,,,,,,
,,,(1945-10-12)12 October 1945,,,25 July 2016(2016-07-25) (aged 70),,,,,,,,,,Arbab Amir Ayub (brother),,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,, Major,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1947-09-01) 1 September 1947 (age 71)Swabi, Pakistan",,,,,,,,,,,,,Liaqat Khan Tarakai (brother)Mohammad Ali Tarkai (brother),,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Government High School, MurreeSir Sayyad College, Rawalpindi",," (1952-12-15) December 15, 1952 (age 66)Malkot, Abbottabad District, Khyber Pakhtunkhwa, Pakistan",Shamoon Yar Khan (Son) Ex-Member KPK Assembly,,,,,,,,,Lawyer,,,,,
,,, (1970-03-15) 15 March 1970 (age 48),,,,,Javed Iqbal Abbasi,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sardar Muhammad Yousuf (father)[1],,,,,,,
,,,,,,,,,,,,,,,,Azam Khan Swati (brother)[1],,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Saifullah Khan family,,
,,,,,,,,,,,Abdul Matin Khan (father)[1],,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Ali Gurshaspc.1267,,,"4 January 1316Delhi, India",,Shihabuddin Mas'ud,,,,,,,,,,
,University of Engineering and Technology(BSc in Mech. Engg.),," (1963-07-25) July 25, 1963 (age 55)Shangla, Khyber-Pakhtunkhwa, Pakistan",, Pakistan,,,,,,,,Mechanical engineer,,Ibadullah Khan (brother),,"Islamabad, Pakistan",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1982-02-23) 23 February 1982 (age 36),,,,,,,,,,,,,,,
,,, (1977-02-12) 12 February 1977 (age 41),,,,,,,,,,,,,Sajjad Hussain Turi (brother),,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1969-06-07) 7 June 1969 (age 49)Islamabad, Pakistan",,,,,,,,,,,,,,,
,,," (1958-12-27) 27 December 1958 (age 60)Karachi, Sindh, Pakistan",Father,,,,,,,,,,,,,,
,University of Sindh,," (1950-12-26) 26 December 1950 (age 68)Sanghar, Sind, Pakistan",4[2],,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1970-01-03) 3 January 1970 (age 49),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1966-01-04) 4 January 1966 (age 53)Rawalpindi, Pakistan",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1975-05-29) 29 May 1975 (age 43),,,,,,,,,,,,,,,
,,, (1975-04-01) 1 April 1975 (age 43),,,,,,,,,,,,,,,
,,,"(1961-09-17)17 September 1961Sargodha, Pakistan",,,"27 June 2015(2015-06-27) (aged 53)Dallas, Texas, United States of America",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,"(1935-01-01)January 1, 1935Sargodha, Pakistan",,,"July 31, 2016(2016-07-31) (aged 81)Lahore, Pakistan",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1965-10-29) 29 October 1965 (age 53),,,,,,,,,,,,,,,
,,,"Lahore, Pakistan",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1975-11-20) 20 November 1975 (age 43),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1971-11-21) 21 November 1971 (age 47),,,,,,,,,,,,Kulsoom Nawaz (aunt),,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,21 July 1952Lahore,,,,,,,,,,,,,,,
,,,26 August 1976Jhang,,Pakistani,,,,,,,,,,,,Jhang,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1967-06-27) 27 June 1967 (age 51),,,,,,,,,,,,,,,
,University of the Punjab,,"January 18, 1958 (age 60)Kamalia, Punjab, Pakistan",,,,,,,,,,,,,,,
,,, (1939-09-01) 1 September 1939 (age 79),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,1960 (age 58–59),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1952-05-05) 5 May 1952 (age 66)Gujrat,,,,,,,,,,,,,,,
,Bahauddin Zakariya University,,"13 May 1961Phalia, Punjab, Pakistan",,,,,,,,,,Agriculturist,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,11 January 1970Sialkot Saidpur,,Pakistani,,,,,,,,,,,,,
,,, (1982-03-02) 2 March 1982 (age 36),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Punjab University(LLB)Cambridge University(BA and MA),," (1947-10-24) 24 October 1947 (age 71)[1][2]Lahore, Punjab, Pakistan",Ali Zahid (son),,,,Hamid Nawaz,,,,,,,,Shahid Hamid (brother),"Islamabad, Pakistan",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1959-05-15) 15 May 1959 (age 59),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1959-01-01) 1 January 1959 (age 60)Lahore,,,,,,,,,,,,,,,
,Aitchison CollegeHailey College of Commerce,,,,,,,,,,,,,,,,,
,,," (1947-11-18) 18 November 1947 (age 71)Lahore, Pakistan",Ali Pervaiz Malik (son),,,,,,,,,,,Malik Mohammad Qayyum (brother)Yasmeen Rehman (sister),,,
,,, (1952-10-24) 24 October 1952 (age 66),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1980-07-19) 19 July 1980 (age 38),,,,,,,,,,,,,,,
,,, (1974-04-06) 6 April 1974 (age 44),,,,,,,,,,,,Malik Saif ul Malook Khokhar (brother)[1],,,
,,," (1956-08-13) 13 August 1956 (age 62)Lahore, Pakistan",,,,,,,,,,Politician,,,,"Lahore, Pakistan",
,,, (1947-07-02) 2 July 1947 (age 71),,,,,,,,,,,,,Rana Tanveer Hussain (brother)[1],,
,,,,,,,,,,,,,,,,,,
,,, (1964-02-22) 22 February 1964 (age 54),,,,,,,,,,,,,,,
,,, (1973-12-25) 25 December 1973 (age 45),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1974-01-01) 1 January 1974 (age 45),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1964-02-01) 1 February 1964 (age 54),,,,,,,,,,,,,,,
,,, (1949-11-06) 6 November 1949 (age 69),,,,,,,,,,,,,,,
,,," (1967-10-05) October 5, 1967 (age 51)",,,,,,,,,,,,Rana Muhammad Iqbal Khan (cousin)  Phool Muhammad Khan (uncle),,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Government College University,," (1955-07-05) 5 July 1955 (age 63)Lahore, Punjab, Pakistan","2 daughters, 1 son",,,,,,,,,"Agriculturist, Gadi Nasheen Karmanwala",,,,,
,,,"Fazilka, Punjab, India",Khurram Jahangir Wattoo (son)  Moazzam Jahanzeb Wattoo (son),,,,,,,,,,,,,,
,,, (1976-02-25) 25 February 1976 (age 42),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1981-04-29) 29 April 1981 (age 37)Lahore,,,,,Yousuf Raza Gilani,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1969-07-21) 21 July 1969 (age 49),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1952-03-15) 15 March 1952 (age 66),,,,,,,,,,,,,,,
,,, (1956-06-10) 10 June 1956 (age 62),,,,,,,,,,,,,,,
,,, (1962-08-16) 16 August 1962 (age 56),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1968-06-25) 25 June 1968 (age 50)Lahore, Pakistan",,,,,,,,,,,,,,,
,,," (1959-03-30) March 30, 1959 (age 59)",,,,,,,,,,,,,,,
,,, (1977-07-12) 12 July 1977 (age 41),,,,,,,,,,,,,,,
,,," (1954-10-16) October 16, 1954 (age 64)Sahiwal, Pakistan",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1974-08-06) 6 August 1974 (age 44),,,,,,,,,,,,,,,
,,," (1971-03-22) March 22, 1971 (age 47)Lahore, Pakistan",,,,,Farooq Leghari,,,,,,,Jamal Leghari (brother)[1],,,
,,," (1942-06-23) June 23, 1942 (age 76)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Balakh Sher Mazari (grandfather)[1],,,
,,,,Shabbir Ali Qureshi (son)[1],,2014,,,,,,,,,,,,
,"Lahore University of Management Sciences [1]University of Massachusetts, Amherst[2]",," (1977-11-19) 19 November 1977 (age 41)Multan, Punjab, Pakistan",,,,,,1.65 m (5 ft 5 in),,,,,,Ghulam Noor Rabbani (father)Ghulam Mustafa Khar (uncle)Aaminah Haq (cousin),,,
,,, (1978-02-15) 15 February 1978 (age 40),,,,,,,,,,,,,,,
,,, (1981-08-10) 10 August 1981 (age 37),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1981-01-01) January 1, 1981 (age 38)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1970-12-21) 21 December 1970 (age 48)[1],,,,,,,,,,,,,,,
,,," (1948-08-01) 1 August 1948 (age 70)Bahawalpur, Punjab",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1940-01-20) 20 January 1940 (age 78),,,,,,,,,,Lawyer,,"Shafqat Hussain (father), Hamida Begum (mother)Syed Imtiaz Alam Gilani, Syed Aijaz Alam Gilani (brothers)[1]",,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1986-06-29) June 29, 1986 (age 32)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1960-01-01) January 1, 1960 (age 59)",,,,,,,,,,,,,,,
,,," (1978-07-24) July 24, 1978 (age 40)",,,,,,,,,,,,,,,
,Government Islamia Science College Sukkur,," (1952-04-20) 20 April 1952 (age 66)[1][2]Sukkur, Sindh, Pakistan",Syed Farukh Ahmed Shah (son)[3],,,"MA, LLB",,,,,,Lawyer,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1945-10-27) October 27, 1945 (age 73)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1955-04-08) April 8, 1955 (age 63)",,,,,,,,,,,,,,,
,,," (1960-12-27) December 27, 1960 (age 58)",,,,,,,,,,,,,,,
,,," (1958-04-26) April 26, 1958 (age 60)",,,,,,,,Hakim Ali Zardari,,,,,Asif Zardari (brother)Benazir Bhutto (sister-in-law)Azra Peechoho (sister),,
,,," (1967-03-05) March 5, 1967 (age 51)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1959-10-27) October 27, 1959 (age 59)Khairpur District, Pakistan",,,,,,,,,,,,,,,
,,," (1974-08-01) August 1, 1974 (age 44)Khairpur, Pakistan",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1941-01-18) January 18, 1941 (age 77)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Liaquat University,," (1956-12-20) 20 December 1956 (age 62)Karachi, Sindh, Pakistan",Hasnain Mirza (son),,,,Qazi Abdul Majeed Abid,,,,,,,Zafar Hussain Mirza (father-in-law),,,
,,,,,,,,,,,,,,,,,,
,,," (1956-03-21) March 21, 1956 (age 62)",,,,,,,,,,,,,,,
,,," (1943-01-15) January 15, 1943 (age 75)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1967-01-01) January 1, 1967 (age 52)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1951-01-01) January 1, 1951 (age 68)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1976-08-20) August 20, 1976 (age 42)",,,,,,,,,,,,,,,
,Federal Urdu University,,"Abdul Qadir8 August 1968Karachi, Sindh",Hussain PatelAbbas Patel,Pakistani,,,,,,,,,,,,Karachi,
,,," (1960-02-02) February 2, 1960 (age 58)",,,,,,,,,,,,,,,
,,," (1948-11-21) November 21, 1948 (age 70)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1964-10-06) October 6, 1964 (age 54)",,,,,,,,,,,,,,,
,,, (1973-12-16) 16 December 1973 (age 45),,,,,,,,,,,,,,,
,,, (1978-06-28) 28 June 1978 (age 40),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Jinnah Sindh Medical University,," (1959-04-09) 9 April 1959 (age 59)[1]Karachi, Sindh, Pakistan",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1960-09-07) 7 September 1960 (age 58)[1]Karachi, Sindh, Pakistan",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1958-01-01) January 1, 1958 (age 61)",,,,,,,,,,,,,,,
,,," (1973-07-10) July 10, 1973 (age 45)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,16 September 1946Quetta Pakistan,,,,,,,,,,,,,,"Quetta, Balochistan, Pakistan",
,,,,,,,,,,,,,,,,,,
,,," (1944-01-01) January 1, 1944 (age 75)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,PhD Physics,,"1 January 1956Mastung, Pakistan",,,,,,,,,,,,,,,
 Pakistan,,,,,,,,,,,,,, Lieutenant-General,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,University of Balochistan,,"Zubaida Jalal Khan (1959-08-31) 31 August 1959 (age 59)Quetta, Balochistan, Pakistan",,Pakistan,,,,,,,,,,,,,
,,, (1965-07-09) 9 July 1965 (age 53),,,,,,,,,,,,,,,
,Wilmington UniversityUniversity of PeshawarUniversity of Pennsylvania,,5 May 1961Swabi,,,,,,,,,,,,,,Islamabad,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1960-01-05) 5 January 1960 (age 59),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,Hamza Ali Abbasi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1970-01-02) 2 January 1970 (age 49),,,,,,,,,,,,Pir Ilahi Bux (grandfather),,,
,,,,Zaib Jaffar (daughter)  Chaudhry Muhammad Omar Jaffar (son),,,,,,,,,,,,Zaka Ashraf (brother),,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1958-07-06) 6 July 1958 (age 60),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1949-06-21) 21 June 1949 (age 69)Gujranwala,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,," (1956-01-13) January 13, 1956 (age 62)Dera Ghazi Khan District, Punjab, Pakistan",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,Maryam Aurangzeb,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1968-01-20) 20 January 1968 (age 50),,Pakistani,,,Qaim Ali Shah[1],,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,, (1968-07-05) 5 July 1968 (age 50),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Jahanzeb CollegeUniversity of the PunjabUniversity of Karachi,,1944,Istiqbal Khan,,"October 30, 2008",,,,,,,,,,,,
,,," (1969-04-02) April 2, 1969 (age 49)",,,,,,,,,,,,,,,
,,, (1963-12-19) 19 December 1963 (age 55),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Government College University, LahoreSt John's College, Cambridge",, (1940-10-21) 21 October 1940 (age 78)British Raj,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,"Syed Yousuf Raza Gillani (1952-07-09) 9 July 1952 (age 66)Multan, Punjab, Pakistan",Alma mater,,,,,,,,,,,,,,
,,,"(1979-04-04)April 4, 1979",,,"(2012-01-10)January 10, 2012 (aged 32)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,"Sardar Farooq Ahmad Khan Leghari(1940-05-29)29 May 1940Choti Zareen, British India (now Pakistan)",AwaisJamal,,"20 October 2010(2010-10-20) (aged 70)Rawalpindi, Pakistan","Forman Christian CollegeSt Catherine's College, Oxford",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,NED University,,,,,,,,,,,,,,,,"Latifabad, Hyderabad",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,"University of Karachi, PakistanUniversity of Detroit",,"Syed Haidar Abbas Rizvi (1968-01-01) January 1, 1968 (age 51)Karachi, Sindh, Pakistan","Rajal Rizvi, Sabika Rizvi, Zyra Rizvi, Salaar Rizvi",,,,,,,,,Engineering Management Consultant,,,,,
,,,,,,,,,,,,,,,,,,
,University of Peshawar,,,,,,,,,,Malik Abdul Malik Afridi,,,,,,Peshawar,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ispahani family,,
,University of Karachi(BA)National Defence University(MSc),,"Fouzia Wahab(1956-11-14)14 November 1956Karachi, Sindh Province, West-Pakistan",Murtaza Wahab,Pakistan,"17 June 2012(2012-06-17) (aged 55)[1]Karachi, Sindh Province, Pakistan",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Smith College University of Sussex,,"Shehrbano Rahman (1960-12-21) 21 December 1960 (age 58)Karachi, Sindh, Pakistan",,,,,,,,,,,,,,,
