Player,Span_bat,Mat_bat,Inns_bat,NO_bat,Runs_bat,HS_bat,Ave_bat,BF_bat,SR_bat,100_bat,50_bat,0_bat,Span_bowl,Mat_bowl,Inns_bowl,Balls_bowl,Runs_bowl,Wkts_bowl,BBI_bowl,Ave_bowl,Econ_bowl,SR_bowl,4_bowl,5_bowl,Country
cr brathwaite,2011-2019,33,29,2,389,50,14.40,452,86.06,0,1,1,2011-2019,33,31,1480,1352,31,5/27,43.61,5.48,47.7,1,1,WI
he van der dussen,2019-2019,9,8,4,353,93,88.25,467,75.58,0,4,0,2019-2019,9,-,-,-,-,-,-,-,-,-,-,SA
mohammad amir,2009-2019,51,27,9,352,73*,19.55,430,81.86,0,2,4,2009-2019,51,50,2473,1971,60,4/28,32.85,4.78,41.2,1,0,PAK
kl rahul,2016-2019,14,13,3,343,100*,34.30,424,80.89,1,2,1,2016-2019,14,-,-,-,-,-,-,-,-,-,-,INDIA
asif ali,2018-2019,16,12,1,342,52,31.09,261,131.03,0,3,0,2018-2019,16,1,5,9,0,-,-,10.80,-,0,0,PAK
sw ambris,2017-2019,6,5,2,316,148,105.33,300,105.33,1,1,0,2017-2019,6,-,-,-,-,-,-,-,-,-,-,WI
shadab khan,2017-2019,34,16,6,294,54,29.40,452,65.04,0,3,1,2017-2019,34,33,1627,1304,47,4/28,27.74,4.80,34.6,3,0,PAK
mehidy hasan miraz,2017-2019,28,16,2,291,51,20.78,405,71.85,0,1,0,2017-2019,28,27,1387,1013,29,4/29,34.93,4.38,47.8,1,0,BDESH
kaj roach,2008-2019,85,54,33,280,34,13.33,521,53.74,0,0,7,2008-2019,85,84,4177,3535,117,6/27,30.21,5.07,35.7,3,3,WI
fdm karunaratne,2011-2019,18,14,1,267,77,20.53,364,73.35,0,2,2,2011-2019,18,1,10,11,0,-,-,6.6,-,0,0,SL
hasan ali,2016-2019,49,26,8,237,59,13.16,223,106.27,0,2,3,2016-2019,49,47,2350,2125,80,5/34,26.56,5.42,29.3,1,3,PAK
