Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Country
Shaheen Shah Afridi ,5,2,2,1,1,14.33,6,16.66,0,0,0,0,0,PAK
T Shamsi ,2,2,2,1,1,14.33,6,16.66,0,0,0,0,0,SA
V Shankar ,3,3,1,58,29,29.0,75,77.33,0,0,0,6,0,INDIA
Shakib Al Hasan ,8,8,1,606,124,86.57,631,96.03,2,5,0,60,2,BDESH
RG Sharma ,9,9,1,648,140,81.0,659,98.33,5,1,0,67,14,INDIA
Shoaib Malik ,3,3,0,8,8,2.66,11,72.72,0,0,2,0,0,PAK
TAM Siriwardana ,1,1,0,3,3,3.0,4,75.0,0,0,0,0,0,SL
SPD Smith ,10,10,0,379,85,37.9,441,85.94,0,4,0,33,2,AUS
IS Sodhi ,1,1,0,5,5,5.0,4,125.0,0,0,0,1,0,NZ
Soumya Sarkar ,8,8,0,166,42,20.75,164,101.21,0,0,0,24,2,BDESH
TG Southee ,1,1,1,7,7,20.75,16,43.75,0,0,0,0,0,NZ
MA Starc ,10,8,2,68,29,11.33,76,89.47,0,0,1,3,2,AUS
MP Stoinis ,8,7,1,87,22,14.5,113,76.99,0,0,2,14,0,AUS
BA Stokes ,11,10,3,465,89,66.42,499,93.18,0,5,0,38,11,ENG
Tamim Iqbal ,8,8,0,235,62,29.37,328,71.64,0,1,0,25,0,BDESH
LRPL Taylor ,10,9,0,350,82,38.88,465,75.26,0,3,0,29,2,NZ
HDRL Thirimanne ,5,5,1,143,53,35.75,163,87.73,0,1,0,11,0,SL
O Thomas ,9,6,4,13,6,6.5,47,27.65,0,0,0,1,0,WI
I Udana ,7,7,1,45,17,7.5,75,60.0,0,0,1,3,1,SL
HE van der Dussen ,9,6,1,311,95,62.2,344,90.4,0,3,0,14,10,SA
JDF Vandersay ,1,6,1,311,95,62.2,344,90.4,0,3,0,14,10,SL
JM Vince ,3,3,0,40,26,13.33,51,78.43,0,0,1,5,0,ENG
Wahab Riaz ,8,6,1,88,45,17.6,69,127.53,0,0,0,5,6,PAK
DA Warner ,10,10,1,647,166,71.88,724,89.36,3,3,0,66,8,AUS
KS Williamson ,10,9,2,578,148,82.57,771,74.96,2,2,0,50,3,NZ
CR Woakes ,11,10,2,134,40,16.75,149,89.93,0,0,0,9,3,ENG
MA Wood ,10,4,2,11,10,5.5,12,91.66,0,0,2,2,0,ENG
A Zampa ,4,2,1,1,1,1.0,3,33.33,0,0,0,0,0,AUS
