,Name,Country,Type_B&F,Mat_B&F,Inns_B&F,NO_B&F,Runs_B&F,HS_B&F,Ave_B&F,BF_B&F,SR_B&F,100_B&F,50_B&F,4s_B&F,6s_B&F,Ct_B&F,St_B&F,Mat_Bowl,Inns_Bowl,Balls_Bowl,Runs_Bowl,Wkts_Bowl,BBI_Bowl,BBM_Bowl,Ave_Bowl,Econ_Bowl,SR_Bowl,4w_Bowl,5w_Bowl,10_Bowl
1,Aaron Finch RSS Feed,australia,ODIs,119,115,2,4559,153*,40.34,5093,89.51,15,24,453,112,59,0,119,19,266,239,4,1/2,1/2,59.75,5.39,66.5,0,0,0
1,Joe Burns RSS Feed,australia,ODIs,6,6,0,146,69,24.33,184,79.34,0,1,16,1,2,0,6,-,-,-,-,-,-,-,-,-,-,-,-
0,Chris Lynn RSS Feed,australia,ODIs,4,4,0,75,44,18.75,89,84.26,0,0,5,3,3,0,4,-,-,-,-,-,-,-,-,-,-,-,-
0,Alex Carey RSS Feed,australia,ODIs,29,26,6,804,85,40.2,874,91.99,0,4,86,5,34,5,29,-,-,-,-,-,-,-,-,-,-,-,-
1,Peter Handscomb RSS Feed,australia,ODIs,22,20,1,632,117,33.26,649,97.38,1,4,46,6,14,0,22,-,-,-,-,-,-,-,-,-,-,-,-
0,D'Arcy Short RSS Feed,australia,ODIs,4,4,1,83,47*,27.66,99,83.83,0,0,7,1,1,0,4,3,42,59,0,-,-,-,8.42,-,0,0,0
1,Glenn Maxwell RSS Feed,australia,ODIs,110,100,11,2877,102,32.32,2332,123.37,1,19,289,94,65,0,110,86,2698,2525,50,4/46,4/46,50.5,5.61,53.9,2,0,0
1,Shaun Marsh RSS Feed,australia,ODIs,73,72,4,2773,151,40.77,3406,81.41,7,15,247.0,36.0,22,0,73,-,-,-,-,-,-,-,-,-,-,-,-
1,Travis Head RSS Feed,australia,ODIs,42,39,2,1273,128,34.4,1414,90.02,1,10,135,16,12,0,42,26,765,737,12,2/22,2/22,61.41,5.78,63.7,0,0,0
0,Nathan Coulter-Nile RSS Feed,australia,ODIs,32,21,6,252,92,16.8,262,96.18,0,1,20,6,7,0,32,32,1678,1555,52,4/48,4/48,29.9,5.56,32.2,1,0,0
1,Peter Siddle RSS Feed,australia,ODIs,20,6,3,31,10*,10.33,30,103.33,0,0,2,0,1,0,20,19,901,743,17,3/55,3/55,43.7,4.94,53.0,0,0,0
1,Mushfiqur Rahim RSS Feed,bangladesh,ODIs,213,199,33,5925,144,35.69,7507.0,78.92,7,35,474.0,81.0,177,44,213,-,-,-,-,-,-,-,-,-,-,-,-
1,Mosaddek Hossain RSS Feed,bangladesh,ODIs,33,28,10,524,52*,29.11,590,88.81,0,2,52,11,13,0,33,31,818,710,14,3/13,3/13,50.71,5.2,58.4,0,0,0
1,Mohammad Mithun RSS Feed,bangladesh,ODIs,21,18,2,467,63,29.18,604.0,77.31,0,4,39.0,12.0,6,0,21,-,-,-,-,-,-,-,-,-,-,-,-
1,Imrul Kayes RSS Feed,bangladesh,ODIs,78,78,2,2434,144,32.02,3423.0,71.1,4,16,238.0,37.0,21,0,78,-,-,-,-,-,-,-,-,-,-,-,-
0,Abu Hider RSS Feed,bangladesh,ODIs,2,1,0,1,1,1.0,11,9.09,0,0,0,0,1,0,2,2,108,89,3,2/50,2/50,29.66,4.94,36.0,0,0,0
1,Tamim Iqbal RSS Feed,bangladesh,ODIs,201,199,8,6871,154,35.97,8823.0,77.87,11,47,752.0,82.0,52,0,201,2,6,13,0,-,-,-,13.00,-,0,0,0
1,Anamul Haque RSS Feed,bangladesh,ODIs,37,34,0,1038,120,30.52,1464,70.9,3,3,101,19,10,0,37,-,-,-,-,-,-,-,-,-,-,-,-
1,Mashrafe Mortaza RSS Feed,bangladesh,ODIs,217,156,27,1786,51*,13.84,2037.0,87.67,0,1,150.0,62.0,61,0,217,217.0,10789,8759,266,6/26,6/26,32.92,4.87,40.5,7,1,0
1,Abu Jayed RSS Feed,bangladesh,ODIs,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2,2,108,114,5,5/58,5/58,22.8,6.33,21.6,0,1,0
1,Shakib Al Hasan RSS Feed,bangladesh,ODIs,206,194,27,6323,134*,37.86,7641.0,82.75,9,47,574.0,42.0,50,0,206,203.0,10517,7857,260,5/29,5/29,30.21,4.48,40.4,8,2,0
1,Nazmul Islam RSS Feed,bangladesh,ODIs,5,1,0,7,7,7.0,13,53.84,0,0,0,0,2,0,5,5,264,224,5,2/38,2/38,44.8,5.09,52.8,0,0,0
1,Liton Das RSS Feed,bangladesh,ODIs,33,33,2,768,121,24.77,871,88.17,1,3,82,12,21,3,33,-,-,-,-,-,-,-,-,-,-,-,-
0,Fazle Mahmud RSS Feed,bangladesh,ODIs,2,2,0,0,0,0.0,9,0.0,0,0,0.0,0.0,1,0,2,1.0,18,16,0,-,-,-,5.33,-,0,0,0
1,Taijul Islam RSS Feed,bangladesh,ODIs,4,2,0,21,11,10.5,40,52.5,0,0,2,0,1,0,4,4,222,151,5,4/11,4/11,30.2,4.08,44.4,1,0,0
1,Mominul Haque RSS Feed,bangladesh,ODIs,28,26,1,557,60,22.28,749.0,74.36,0,3,60.0,1.0,4,0,28,12,234,190,7,2/13,2/13,27.14,4.87,33.4,0,0,0
1,Soumya Sarkar RSS Feed,bangladesh,ODIs,52,51,3,1633,127*,34.02,1632,100.06,2,10,193,41,29,0,52,11,228,229,5,3/58,3/58,45.8,6.02,45.6,0,0,0
1,Mustafizur Rahman RSS Feed,bangladesh,ODIs,54,25,16,58,18*,6.44,120,48.33,0,0,6,0,10,0,54,53,2705,2333,103,6/43,6/43,22.65,5.17,26.2,3,5,0
1,Rubel Hossain RSS Feed,bangladesh,ODIs,99,50,23,132,17,4.88,237.0,55.69,0,0,13.0,2.0,20,0,99,97,4432,4191,124,6/26,6/26,33.79,5.67,35.7,7,1,0
1,Ariful Haque RSS Feed,bangladesh,ODIs,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,18,17,0,-,-,-,5.66,-,0,0,0
1,Sabbir Rahman RSS Feed,bangladesh,ODIs,63,56,7,1255,102,25.61,1369,91.67,1,5,144,24,32,0,63,20,290,325,3,1/12,1/12,108.33,6.72,96.6,0,0,0
1,Nurul Hasan RSS Feed,bangladesh,ODIs,2,2,0,68,44,34.0,70,97.14,0,0,4,2,2,1,2,-,-,-,-,-,-,-,-,-,-,-,-
1,Mahmudullah RSS Feed,bangladesh,ODIs,182,157,42,3976,128*,34.57,5182.0,76.72,3,21,311.0,56.0,61,0,182,132.0,4066,3501,76,3/4,3/4,46.06,5.16,53.5,0,0,0
1,Najmul Hossain Shanto RSS Feed,bangladesh,ODIs,3,3,0,20,7,6.66,45,44.44,0,0,0,0,2,0,3,-,-,-,-,-,-,-,-,-,-,-,-
0,Mohammad Saifuddin RSS Feed,bangladesh,ODIs,20,12,3,262,51*,29.11,322,81.36,0,2,24,3,2,0,20,20,912,909,24,3/45,3/45,37.87,5.98,38.0,0,0,0
1,Mehidy Hasan RSS Feed,bangladesh,ODIs,35,21,4,328,51,19.29,438,74.88,0,1,31,3,11,0,35,34,1789,1354,35,4/29,4/29,38.68,4.54,51.1,1,0,0
1,James Anderson RSS Feed,england,ODIs,194,79,43,273,28,7.58,561.0,48.66,0,0,23.0,0.0,53,0,194,191.0,9584,7861,269,5/23,5/23,29.22,4.92,35.6,11,2,0
1,Ben Stokes RSS Feed,england,ODIs,95,81,15,2682,102*,40.63,2855.0,93.94,3,20,217.0,75.0,45,0,95,80,2912,2920,70,5/61,5/61,41.71,6.01,41.6,1,1,0
1,Joe Root RSS Feed,england,ODIs,143,135,21,5856,133*,51.36,6702,87.37,16,33,475,43,74,0,143,64,1414,1364,22,3/52,3/52,62.0,5.78,64.2,0,0,0
1,Eoin Morgan RSS Feed,england,ODIs,233,217,32,7348,148,39.71,8053,91.24,13,46,612.0,211.0,83,0,233,-,-,-,-,-,-,-,-,-,-,-,-
1,Chris Jordan RSS Feed,england,ODIs,31,21,7,169,38*,12.07,188.0,89.89,0,0,12.0,5.0,19,0,31,31,1532,1521,43,5/29,5/29,35.37,5.95,35.6,0,1,0
1,Ben Duckett RSS Feed,england,ODIs,3,3,0,123,63,41.0,152,80.92,0,2,10,1,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-
1,Tom Curran RSS Feed,england,ODIs,17,11,7,178,47*,44.5,166,107.22,0,0,18,4,4,0,17,17,762,805,27,5/35,5/35,29.81,6.33,28.2,1,1,0
1,Moeen Ali RSS Feed,england,ODIs,101,82,13,1766,128,25.59,1697,104.06,3,5,154.0,60.0,32,0,101,95.0,4654,4089,84,4/46,4/46,48.67,5.27,55.4,1,0,0
1,James Vince RSS Feed,england,ODIs,13,11,0,265,51,24.09,299,88.62,0,1,38,0,4,0,13,-,-,-,-,-,-,-,-,-,-,-,-
1,Adil Rashid RSS Feed,england,ODIs,99,43,12,588,69,18.96,574.0,102.43,0,1,64.0,7.0,30,0,99,93,4851,4547,143,5/27,5/27,31.79,5.62,33.9,7,2,0
1,Sam Curran RSS Feed,england,ODIs,2,2,0,17,15,8.5,29,58.62,0,0,1,1,0,0,2,2,72,90,2,2/44,2/44,45.0,7.5,36.0,0,0,0
1,Jos Buttler RSS Feed,england,ODIs,142,117,23,3843,150,40.88,3207,119.83,9,20,321,125,171,31,142,-,-,-,-,-,-,-,-,-,-,-,-
0,David Willey RSS Feed,england,ODIs,46,27,12,279,50,18.6,339,82.3,0,1,23,6,21,0,46,45,1971,1889,52,4/34,4/34,36.32,5.75,37.9,2,0,0
1,Liam Plunkett RSS Feed,england,ODIs,89,50,19,646,56,20.83,629.0,102.7,0,1,53.0,18.0,26,0,89,87.0,4137,4010,135,5/52,5/52,29.7,5.81,30.6,6,1,0
0,Jofra Archer RSS Feed,england,ODIs,14,7,3,13,7*,3.25,22,59.09,0,0,1,0,4,0,14,14,737,569,23,3/27,3/27,24.73,4.63,32.0,0,0,0
1,Joe Denly RSS Feed,england,ODIs,13,11,0,293,67,26.63,447,65.54,0,2,32.0,1.0,7,0,13,3.0,66,60,1,1/24,1/24,60.00,5.45,66.0,0,0,0
0,Olly Stone RSS Feed,england,ODIs,4,1,1,9,9*,-,7,128.57,0,0,1,0,0,0,4,3,96,97,1,1/23,1/23,97.0,6.06,96.0,0,0,0
0,Sam Billings RSS Feed,england,ODIs,15,12,0,271,62,22.58,298,90.93,0,2,29,2,13,0,15,-,-,-,-,-,-,-,-,-,-,-,-
1,Mark Wood RSS Feed,england,ODIs,51,17,10,56,13,8.00,63,88.88,0,0,6,0,11,0,51,50,2585,2385,61,4/33,4/33,39.09,5.53,42.3,2,0,0
1,Alex Hales RSS Feed,england,ODIs,70,67,3,2419,171,37.79,2527,95.72,6,14,276,50,27,0,70,-,-,-,-,-,-,-,-,-,-,-,-
0,Jason Roy RSS Feed,england,ODIs,84,81,2,3381,180,42.79,3148,107.4,9,18,390,68,31,0,84,-,-,-,-,-,-,-,-,-,-,-,-
1,Liam Dawson RSS Feed,england,ODIs,3,2,0,14,10,7.0,17,82.35,0,0,1,0,0,0,3,2,84,96,3,2/70,2/70,32.0,6.85,28.0,0,0,0
1,Ben Foakes RSS Feed,england,ODIs,1,1,1,61,61*,-,76,80.26,0,1,3,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-
1,Dawid Malan RSS Feed,england,ODIs,1,1,0,24,24,24.0,30,80.0,0,0,3,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
1,Chris Woakes RSS Feed,england,ODIs,99,68,20,1186,95*,24.7,1316.0,90.12,0,4,84.0,19.0,44,0,99,95,4638,4327,142,6/45,6/45,30.47,5.59,32.6,9,3,0
1,Stuart Broad RSS Feed,england,ODIs,121,68,25,529,45*,12.3,709,74.61,0,0,35.0,10.0,27,0,121,121.0,6109,5364,178,5/23,5/23,30.13,5.26,34.3,9,1,0
1,Jonny Bairstow RSS Feed,england,ODIs,74,68,8,2861,141*,47.68,2749.0,104.07,9,11,326.0,62.0,34,2,74,-,-,-,-,-,-,-,-,-,-,-,-
1,Hardik Pandya RSS Feed,india,ODIs,54,38,6,957,83,29.9,828,115.57,0,4,69,40,22,0,54,53,2368,2195,54,3/31,3/31,40.64,5.56,43.8,0,0,0
1,Kuldeep Yadav RSS Feed,india,ODIs,51,20,12,101,19,12.62,173,58.38,0,0,8,0,5,0,51,49,2700,2229,93,6/25,6/25,23.96,4.95,29.0,4,1,0
1,MS Dhoni RSS Feed,india,ODIs,350,297,84,10773,183*,50.57,12303.0,87.56,10,73,826.0,229.0,321,123,350,2,36,31,1,1/14,1/14,31.00,5.16,36.0,0,0,0
1,KL Rahul RSS Feed,india,ODIs,23,22,4,704,111,39.11,890,79.1,2,4,57,10,8,0,23,-,-,-,-,-,-,-,-,-,-,-,-
1,Jasprit Bumrah RSS Feed,india,ODIs,58,13,8,19,10*,3.8,43,44.18,0,0,2,1,17,0,58,58,3009,2254,103,5/27,5/27,21.88,4.49,29.2,5,1,0
1,Murali Vijay RSS Feed,india,ODIs,17,16,0,339,72,21.18,506,66.99,0,1,33,3,9,0,17,2,36,37,1,1/19,1/19,37.00,6.16,36.0,0,0,0
1,Rohit Sharma RSS Feed,india,ODIs,215,209,32,8658,264,48.91,9766.0,88.65,27,42,766.0,232.0,77,0,215,38,593,515,8,2/27,2/27,64.37,5.21,74.1,0,0,0
1,Ishant Sharma RSS Feed,india,ODIs,80,28,13,72,13,4.8,203,35.46,0,0,6,0,19,0,80,78,3733,3563,115,4/34,4/34,30.98,5.72,32.4,6,0,0
0,Khaleel Ahmed RSS Feed,india,ODIs,8,3,1,9,5,4.50,17,52.94,0,0,1,0,1,0,8,8,378,338,11,3/13,3/13,30.72,5.36,34.3,0,0,0
1,Ajinkya Rahane RSS Feed,india,ODIs,90,87,3,2962,111,35.26,3767.0,78.63,3,24,293.0,33.0,48,0,90,-,-,-,-,-,-,-,-,-,-,-,-
1,Dinesh Karthik RSS Feed,india,ODIs,94,79,21,1752,79,30.2,2392,73.24,0,9,176.0,15.0,64,7,94,-,-,-,-,-,-,-,-,-,-,-,-
0,Ambati Rayudu RSS Feed,india,ODIs,55,50,14,1694,124*,47.05,2143.0,79.04,3,10,145.0,30.0,17,0,55,9,121,124,3,1/5,1/5,41.33,6.14,40.3,0,0,0
0,Siddarth Kaul RSS Feed,india,ODIs,3,2,0,1,1,0.50,3,33.33,0,0,0,0,1,0,3,3,162,179,0,-,-,-,6.62,-,0,0,0
1,Rishabh Pant RSS Feed,india,ODIs,9,8,0,209,48,26.12,201,103.98,0,0,25,4,6,0,9,-,-,-,-,-,-,-,-,-,-,-,-
1,Virat Kohli RSS Feed,india,ODIs,236,228,38,11286,183,59.4,12135,93.0,41,54,1057,118,117,0,236,48,641,665,4,1/15,1/15,166.25,6.22,160.2,0,0,0
1,Mohammed Shami RSS Feed,india,ODIs,67,32,14,133,25,7.38,158,84.17,0,0,10,6,24,0,67,66,3442,3144,127,5/69,5/69,24.75,5.48,27.1,8,1,0
0,Shubman Gill RSS Feed,india,ODIs,2,2,0,16,9,8.0,32,50.0,0,0,2,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-
0,Yuzvendra Chahal RSS Feed,india,ODIs,49,8,3,39,18*,7.8,72,54.16,0,0,6,0,14,0,49,48,2617,2214,84,6/42,6/42,26.35,5.07,31.1,2,2,0
0,Vijay Shankar RSS Feed,india,ODIs,12,8,1,223,46,31.85,246,90.65,0,0,20,4,7,0,12,9,233,210,4,2/15,2/15,52.5,5.4,58.2,0,0,0
1,Umesh Yadav RSS Feed,india,ODIs,75,24,14,79,18*,7.9,134,58.95,0,0,8,1,22,0,75,73,3558,3565,106,4/31,4/31,33.63,6.01,33.5,4,0,0
1,Bhuvneshwar Kumar RSS Feed,india,ODIs,111,51,15,525,53*,14.58,701.0,74.89,0,1,44.0,8.0,26,0,111,110,5349,4478,128,5/42,5/42,34.98,5.02,41.7,3,1,0
1,Shikhar Dhawan RSS Feed,india,ODIs,130,129,7,5480,143,44.91,5830.0,93.99,17,27,683.0,67.0,61,0,130,-,-,-,-,-,-,-,-,-,-,-,-
1,Cheteshwar Pujara RSS Feed,india,ODIs,5,5,0,51,27,10.2,130.0,39.23,0,0,4.0,0.0,0,0,5,-,-,-,-,-,-,-,-,-,-,-,-
0,Mohammed Siraj RSS Feed,india,ODIs,1,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,60,76,0,-,-,-,7.6,-,0,0,0
1,Ravindra Jadeja RSS Feed,india,ODIs,153,102,33,2112,87,30.6,2475,85.33,0,11,159,41,56,0,153,149,7789,6319,176,5/36,5/36,35.9,4.86,44.2,7,1,0
0,Kedar Jadhav RSS Feed,india,ODIs,65,45,16,1254,120,43.24,1244,100.8,2,6,127,21,30,0,65,39,1127,971,27,3/23,3/23,35.96,5.16,41.7,0,0,0
1,Colin Munro RSS Feed,newzealand,ODIs,57,53,2,1271,87,24.92,1214,104.69,0,8,138,36,22,0,57,25,552,481,7,2/10,2/10,68.71,5.22,78.8,0,0,0
1,Colin de Grandhomme RSS Feed,newzealand,ODIs,38,29,6,633,74*,27.52,590.0,107.28,0,3,47.0,26.0,11,0,38,38.0,1296,1046,24,3/26,3/26,43.58,4.84,54.0,0,0,0
1,Tim Southee RSS Feed,newzealand,ODIs,140,85,32,676,55,12.75,686,98.54,0,1,53,26,39,0,140,138,7021,6373,186,7/33,7/33,34.26,5.44,37.7,4,3,0
1,Matt Henry RSS Feed,newzealand,ODIs,52,21,7,211,48*,15.07,211,100.0,0,0,19,9,17,0,52,50,2703,2437,92,5/30,5/30,26.48,5.4,29.3,7,2,0
1,Trent Boult RSS Feed,newzealand,ODIs,89,39,23,154,21*,9.62,209,73.68,0,0,14,6,30,0,89,89,4884,4111,164,7/34,7/34,25.06,5.05,29.7,7,5,0
1,Henry Nicholls RSS Feed,newzealand,ODIs,45,43,10,1120,124*,33.93,1359,82.41,1,9,96,10,16,0,45,-,-,-,-,-,-,-,-,-,-,-,-
1,Corey Anderson RSS Feed,newzealand,ODIs,49,45,5,1109,131*,27.72,1020,108.72,1,4,86,55,11,0,49,43,1485,1502,60,5/63,5/63,25.03,6.06,24.7,2,1,0
0,George Worker RSS Feed,newzealand,ODIs,10,10,2,272,58,34.0,379,71.76,0,3,23,3,5,0,10,1,6,5,0,-,-,-,5.0,-,0,0,0
