Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,Country
Mosaddek Hossain ,7,7,36.0,0,215,3,2/33,71.66,5.97,72.0,0,0,3,0,BDESH
Mujeeb Ur Rahman ,7,7,57.5,1,259,7,3/39,37.0,4.47,49.5,0,0,2,0,AFG
C Munro ,6,1,1.0,0,9,0,-,37.0,9.0,49.5,0,0,2,0,NZ
Mushfiqur Rahim ,8,1,1.0,0,9,0,-,37.0,9.0,49.5,0,0,8,2,BDESH
Mustafizur Rahman ,8,8,72.1,2,484,20,5/59,24.2,6.7,21.6,0,2,1,0,BDESH
Najibullah Zadran ,8,8,72.1,2,484,20,-,24.2,6.7,21.6,0,2,2,0,AFG
JDS Neesham ,10,9,54.3,2,292,15,5/31,19.46,5.35,21.8,0,1,4,0,NZ
L Ngidi ,4,4,33.0,1,211,7,3/64,30.14,6.39,28.2,0,0,1,0,SA
HM Nicholls ,4,4,33.0,1,211,7,-,30.14,6.39,28.2,0,0,0,0,NZ
Noor Ali Zadran ,3,4,33.0,1,211,7,-,30.14,6.39,28.2,0,0,0,0,AFG
AR Nurse ,4,2,14.0,0,86,0,-,30.14,6.14,28.2,0,0,0,0,WI
HH Pandya ,9,9,79.0,1,447,10,3/60,44.7,5.65,47.4,0,0,3,0,INDIA
RR Pant ,4,9,79.0,1,447,10,-,44.7,5.65,47.4,0,0,1,0,INDIA
MDKJ Perera ,7,9,79.0,1,447,10,-,44.7,5.65,47.4,0,0,8,0,SL
NLTC Perera ,6,6,40.2,1,207,1,1/19,207.0,5.13,242.0,0,0,2,0,SL
AL Phehlukwayo ,9,8,61.5,2,336,11,2/18,30.54,5.43,33.7,0,0,1,0,SA
LE Plunkett ,7,7,56.0,0,272,11,3/42,24.72,4.85,30.5,0,0,1,0,ENG
N Pooran ,9,7,56.0,0,272,11,-,24.72,4.85,30.5,0,0,1,0,WI
D Pretorius ,3,3,23.0,4,94,5,3/25,18.8,4.08,27.6,0,0,1,0,SA
K Rabada ,9,8,78.0,4,397,11,3/56,36.09,5.08,42.5,0,0,3,0,SA
Rahmat Shah ,9,4,13.0,0,69,1,1/22,69.0,5.3,78.0,0,0,5,0,AFG
KL Rahul ,9,4,13.0,0,69,1,-,69.0,5.3,78.0,0,0,1,0,INDIA
CAK Rajitha ,2,2,18.0,0,123,2,1/47,61.5,6.83,54.0,0,0,0,0,SL
AU Rashid ,11,11,92.0,0,526,11,3/54,47.81,5.71,50.1,0,0,3,0,ENG
Rashid Khan ,9,8,71.5,1,416,6,2/17,69.33,5.79,71.8,0,0,1,0,AFG
KW Richardson ,2,2,17.4,1,109,5,3/47,21.8,6.16,21.2,0,0,2,0,AUS
KAJ Roach ,4,4,33.0,4,121,6,3/36,20.16,3.66,33.0,0,0,0,0,WI
JE Root ,11,3,10.0,0,55,2,2/27,27.5,5.5,30.0,0,0,13,0,ENG
JJ Roy ,8,3,10.0,0,55,2,-,27.5,5.5,30.0,0,0,1,0,ENG
Rubel Hossain ,2,2,17.0,0,131,1,1/48,131.0,7.7,102.0,0,0,3,0,BDESH
AD Russell ,4,4,19.0,1,101,5,2/4,20.2,5.31,22.8,0,0,0,0,WI
Sabbir Rahman ,2,4,19.0,1,101,5,-,20.2,5.31,22.8,0,0,0,0,BDESH
Samiullah Shinwari ,3,1,8.0,0,32,0,-,20.2,4.0,22.8,0,0,0,0,AFG
MJ Santner ,10,9,67.0,4,323,6,2/34,53.83,4.82,67.0,0,0,3,0,NZ
Sarfaraz Ahmed ,8,9,67.0,4,323,6,-,53.83,4.82,67.0,0,0,13,1,PAK
Sayed Shirzad ,1,1,8.0,0,56,1,1/56,56.0,7.0,48.0,0,0,0,0,AFG
Shadab Khan ,7,6,58.0,1,320,9,3/50,35.55,5.51,38.6,0,0,1,0,PAK
Shaheen Shah Afridi ,5,5,47.1,3,234,16,6/35,14.62,4.96,17.6,1,1,0,0,PAK
T Shamsi ,2,2,18.0,0,116,0,-,14.62,6.44,17.6,0,0,0,0,SA
V Shankar ,3,1,5.2,0,22,2,2/22,11.0,4.12,16.0,0,0,2,0,INDIA
Shakib Al Hasan ,8,8,74.0,1,399,11,5/29,36.27,5.39,40.3,0,1,3,0,BDESH
RG Sharma ,9,8,74.0,1,399,11,-,36.27,5.39,40.3,0,1,4,0,INDIA
Shoaib Malik ,3,3,8.0,0,47,1,1/10,47.0,5.87,48.0,0,0,2,0,PAK
TAM Siriwardana ,1,1,2.0,0,17,0,-,47.0,8.5,48.0,0,0,1,0,SL
SPD Smith ,10,3,4.0,0,32,1,1/6,32.0,8.0,24.0,0,0,3,0,AUS
IS Sodhi ,1,1,6.0,0,35,0,-,32.0,5.83,24.0,0,0,0,0,NZ
Soumya Sarkar ,8,2,14.0,0,91,4,3/58,22.75,6.5,21.0,0,0,7,0,BDESH
TG Southee ,1,1,9.0,0,70,1,1/70,70.0,7.77,54.0,0,0,0,0,NZ
MA Starc ,10,10,92.2,5,502,27,5/26,18.59,5.43,20.5,2,2,3,0,AUS
MP Stoinis ,8,8,40.0,1,244,7,2/37,34.85,6.1,34.2,0,0,3,0,AUS
BA Stokes ,11,11,50.5,1,246,7,3/23,35.14,4.83,43.5,0,0,3,0,ENG
Tamim Iqbal ,8,11,50.5,1,246,7,-,35.14,4.83,43.5,0,0,3,0,BDESH
LRPL Taylor ,10,11,50.5,1,246,7,-,35.14,4.83,43.5,0,0,0,0,NZ
HDRL Thirimanne ,5,11,50.5,1,246,7,-,35.14,4.83,43.5,0,0,0,0,SL
O Thomas ,9,9,58.1,1,380,9,4/27,42.22,6.53,38.7,1,0,0,0,WI
I Udana ,7,7,51.3,0,296,6,2/41,49.33,5.74,51.5,0,0,3,0,SL
HE van der Dussen ,9,7,51.3,0,296,6,-,49.33,5.74,51.5,0,0,3,0,SA
JDF Vandersay ,1,1,7.0,0,50,1,1/50,50.0,7.14,42.0,0,0,1,0,SL
JM Vince ,3,1,7.0,0,50,1,-,50.0,7.14,42.0,0,0,0,0,ENG
Wahab Riaz ,8,8,66.4,1,400,11,3/46,36.36,6.0,36.3,0,0,4,0,PAK
DA Warner ,10,8,66.4,1,400,11,-,36.36,6.0,36.3,0,0,4,0,AUS
KS Williamson ,10,2,15.0,0,64,2,1/25,32.0,4.26,45.0,0,0,6,0,NZ
CR Woakes ,11,11,85.0,6,446,16,3/20,27.87,5.24,31.8,0,0,8,0,ENG
MA Wood ,10,10,89.4,2,463,18,3/18,25.72,5.16,29.8,0,0,0,0,ENG
A Zampa ,4,4,33.0,0,236,5,3/60,47.2,7.15,39.6,0,0,1,0,AUS
