mobiles,prices,currency,new_used,web
"Samsung Galaxy S8+ - 64GB, 4G LTE,Midnight Black",9999,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy S7 Edge Dual Sim - 32GB, 4GB RAM, 4G LTE, Silver",8748,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 7 Plus with FaceTime - 128GB, 4G LTE, Black",12883,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
Nokia 1110I,299,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 6 with FaceTime - 64GB, 4G LTE, Silver",7000,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 7 Plus with FaceTime - 128GB, 4G LTE, Rose Gold",13998,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"HUAWEI MATE 20 PRO Dual Sim - 128GB, 4G LTE, BLACK",21499,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Motorola Moto E4 Plus Dual SIM - 16GB, 3GB RAM, 4G LTE, Fine Gold",2299,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Lenovo K6 Note Dual Sim - 32GB, 3GB RAM, 4G LTE, Gold",4000,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy S8 Single Sim - 64GB, 4G LTE, Orchid Gray",7999,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 6 with FaceTime - 64GB, 4G LTE, Gold",6999,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy S7 Edge - 32GB, 4GB RAM, 4G LTE, Silver",7999,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone X without FaceTime - 64GB, 4G LTE, Space Grey",16998,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Huawei Mate 10 Pro Dual SIM - 128GB, 6GB RAM, 4G LTE, Midnight Blue",20000,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 7 with FaceTime - 256GB, 4G LTE, Silver",13500,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy S7 - 32GB, 4GB RAM, 4G LTE, Gold",7999,,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Apple iPhone 6Swith FaceTime- 64GB, 4G LTE, Rose Gold",7650,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
Nokia 1110,300,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy A5 2017 Dual Sim - 32GB, 4G LTE, Black",5200,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"Samsung Galaxy S8 Single Sim - 64GB, 4G LTE, Midnight Black",8900,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"HUAWEI MATE 20 PRO Dual Sim - 128GB, 4G LTE, TWILIGHT",19750,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
"HTC Desire 12+ Dual SIM - 32GB, 3GB RAM, 4G LTE, Warm Silver",2888,EGP,new,https://egypt.souq.com/eg-en/mobile-phone/l/?section=2&page=1
