,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,89,-,-,-,-,-,,v South Africa,The Oval,30 May 2019
1,2,-,2.5,12,2,2,0,,v South Africa,The Oval,30 May 2019
2,1,-,7.0,43,0,0,0,,v Pakistan,Nottingham,3 Jun 2019
3,2,13,-,-,-,-,-,,v Pakistan,Nottingham,3 Jun 2019
4,1,6,-,-,-,-,-,,v Bangladesh,Cardiff,8 Jun 2019
