,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,10.0,65,1,0,0,,v Australia,Melbourne,14 Feb 2015
1,2,37,-,-,-,-,-,,v Australia,Melbourne,14 Feb 2015
2,1,1,-,-,-,-,-,,v New Zealand,Wellington,20 Feb 2015
3,2,-,3.0,8,2,0,0,,v New Zealand,Wellington,20 Feb 2015
4,1,1,-,-,-,-,-,,v Scotland,Christchurch,23 Feb 2015
