,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,0,-,-,-,-,-,,v South Africa,The Oval,30 May 2019
1,2,-,DNB,-,-,0,0,,v South Africa,The Oval,30 May 2019
2,1,-,DNB,-,-,1,0,,v Pakistan,Nottingham,3 Jun 2019
3,2,32,-,-,-,-,-,,v Pakistan,Nottingham,3 Jun 2019
4,1,51,-,-,-,-,-,,v Bangladesh,Cardiff,8 Jun 2019
