,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,7*,-,-,-,-,-,,v South Africa,The Oval,30 May 2019
1,2,-,7.0,27,3,0,0,,v South Africa,The Oval,30 May 2019
2,1,-,10.0,79,0,0,0,,v Pakistan,Nottingham,3 Jun 2019
3,2,1,-,-,-,-,-,,v Pakistan,Nottingham,3 Jun 2019
4,1,DNB,-,-,-,-,-,,v Bangladesh,Cardiff,8 Jun 2019
