,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,10.0,53,2,0,0,,v Pakistan,Nottingham,3 Jun 2019
1,2,10*,-,-,-,-,-,,v Pakistan,Nottingham,3 Jun 2019
2,1,DNB,-,-,-,-,-,,v Bangladesh,Cardiff,8 Jun 2019
3,2,-,8.0,52,2,0,0,,v Bangladesh,Cardiff,8 Jun 2019
4,1,-,6.4,18,3,0,0,,v West Indies,Southampton,14 Jun 2019
