,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,21,-,-,-,-,-,,v Zimbabwe,Kingston,15 Mar 2007
1,2,-,DNB,-,-,1,0,,v Zimbabwe,Kingston,15 Mar 2007
2,1,-,DNB,-,-,2,0,,v Pakistan,Kingston,17 Mar 2007
3,2,2,-,-,-,-,-,,v Pakistan,Kingston,17 Mar 2007
4,1,18,-,-,-,-,-,,v West Indies,Kingston,23 Mar 2007
