,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,28,-,-,-,-,-,,v Afghanistan,Canberra,18 Feb 2015
1,2,-,3.0,13,0,1,0,,v Afghanistan,Canberra,18 Feb 2015
2,1,-,DNB,-,-,0,0,,v Sri Lanka,Melbourne,26 Feb 2015
3,2,25,-,-,-,-,-,,v Sri Lanka,Melbourne,26 Feb 2015
4,1,-,DNB,-,-,4,0,,v Scotland,Nelson,5 Mar 2015
