,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,DNB,-,-,0,0,,v India,Port of Spain,17 Mar 2007
1,2,51,-,-,-,-,-,,v India,Port of Spain,17 Mar 2007
2,1,-,DNB,-,-,1,0,,v Sri Lanka,Port of Spain,21 Mar 2007
3,2,6,-,-,-,-,-,,v Sri Lanka,Port of Spain,21 Mar 2007
4,1,-,DNB,-,-,2,0,,v Bermuda,Port of Spain,25 Mar 2007
