,orignal_name,wikipedia_name
121,honourable mr. justice dr. khalid masud,Muhammad Khalid Masud
122,honourable mr. justice faisal arab,Sindh High Court
123,honourable mr. justice gulzar ahmed,Gulzar Ahmed
124,honourable mr. justice sajjad ali shah,Sindh High Court
125,honourable mr. justice sardar tariq masood,Kallar Syedan Tehsil
126,honourable mr. justice syed mansoor ali shah,Day of Deliverance (India)
127,"hussain ahmed lehri, psp",NA-122 (Lahore-V)
128,hussain elahi,Chaudhry Hussain Elahi
129,ibrahim khattak,Pervez Khattak
130,iftikhar ahmed khan,Chaudhary Iftikhar Ahmed Warsi
131,iftikhar ali,Iftikhar Ali Khan Pataudi
132,ijaz ahmad shah,Noman Ijaz
133,ijaz ali khan,Fateh Ali Khan (Qawwali singer)
134,ikramullah khan,Family of Imran Khan
135,ishrat ashraf,Zaka Ashraf
136,jafar ali,Mir Jafar
137,"jaffar ali, sp",Lucknow (Lok Sabha constituency)
138,jam muhammad younis,Romeo Weds Heer
139,jamshed ud din,Khyber Pakhtunkhwa Department of Excise and Taxation
140,jan muhammad khan jamali,Jan Mohammad Jamali
141,javed hanif khan,Muhammad Javed Hanif Khan
142,justice abdullah baloch,"Balochistan, Pakistan"
143,justice jamal khan mandokhail,Jamal Khan Mandokhail
144,"justice mehmood maqbool bajwa, judge",Federal Shariat Court
145,justice mrs. ashraf jehan,Sardar Akhtar
146,justice muhammad hashim khan kakar,Muhammad Hashim Kakar
147,justice muhammad kamran khan mulakhail,Muhammad Kamran Khan Mulakhail
148,justice naeem akhtar afghan,Naeem Akhtar Afghan
149,"justice syed muhammad farooq shah, judge",Syed Sajjad Ali Shah
150,justice syeda tahira safdar,Tahira Safdar
151,justice zaheer-ud-din kakar,Balochistan High Court
152,kanwal pervaiz ch.,Pakistan Television Corporation
153,kanwar naveed jameel,Muttahida Qaumi Movement
154,karim bux gabol,List of members of the 12th National Assembly of Pakistan
155,kashif ali chishty,Pir Kashif Ali Chishty
156,kauda babar,Khuda Babar
157,khalil tahir sindhu,List of members of the 17th Provincial Assembly of the Punjab
158,khan sher akbar khan,Abdul Rahim Khan-I-Khana
159,khawaja izhar ul hassan,Khawaja Izharul Hassan
160,khawaja muhammad mansha ullah butt,List of people from Islamabad
161,khawaja salman rafiq,Khawaja Saad Rafique
162,khayal ahmad,Khayal Ahmad Kastro
163,khial zaman,Khayal Zaman Orakzai
164,laila bibi,Brahumdagh Bugti
165,lala muhammad tahir randhawa,List of Punjabi people
166,liaqat ali,Liaquat Ali Khan
167,liaqat khan,Liaquat Ali Khan
168,lieutenant general javed zia (r),Muhammad Zia-ul-Haq
169,aamir abbasi,Hanif Abbasi
170,azhar saleh abbasi,I Corps (Pakistan)
171,humayun aziz,Humayun
