,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,0,-,TDNB,-,-,-,-,,v West Indies,Southampton,10 Jun 2019
1,1,DNB,-,-,-,-,-,,v West Indies,Southampton,10 Jun 2019
2,1,-,5.0,25,0,0,0,,v Afghanistan,Cardiff,15 Jun 2019
3,2,DNB,-,-,-,-,-,,v Afghanistan,Cardiff,15 Jun 2019
