,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,10.0,66,3,0,0,,v England,The Oval,30 May 2019
1,2,6*,-,-,-,-,-,,v England,The Oval,30 May 2019
2,1,-,4.0,34,0,0,0,,v Bangladesh,The Oval,2 Jun 2019
3,2,DNB,-,-,-,-,-,,v Bangladesh,The Oval,2 Jun 2019
4,1,DNB,-,-,-,-,-,,v New Zealand,Birmingham,19 Jun 2019
