,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,-,7.0,42,0,0,0,,v England,The Oval,30 May 2019
1,2,1,-,-,-,-,-,,v England,The Oval,30 May 2019
2,1,-,10.0,25,3,1,0,,v Sri Lanka,Chester-le-Street,28 Jun 2019
3,2,DNB,-,-,-,-,-,,v Sri Lanka,Chester-le-Street,28 Jun 2019
4,1,2,-,-,-,-,-,,v Australia,Manchester,6 Jul 2019
