,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,138*,-,-,-,-,-,,v Zimbabwe,Hamilton,15 Feb 2015
1,2,-,DNB,-,-,0,0,,v Zimbabwe,Hamilton,15 Feb 2015
2,1,-,DNB,-,-,0,0,,v India,Melbourne,22 Feb 2015
3,2,22,-,-,-,-,-,,v India,Melbourne,22 Feb 2015
4,1,20,-,-,-,-,-,,v West Indies,Sydney,27 Feb 2015
