,Inns,Score,Overs,Conc,Wkts,Ct,St,empty,Opposition,Ground,Start Date
0,1,2,-,-,-,-,-,,v West Indies,Nottingham,31 May 2019
1,2,-,DNB,-,-,0,0,,v West Indies,Nottingham,31 May 2019
2,1,44,-,-,-,-,-,,v England,Nottingham,3 Jun 2019
3,2,-,DNB,-,-,0,0,,v England,Nottingham,3 Jun 2019
4,1,-,DNB,-,-,1,0,,v Australia,Taunton,12 Jun 2019
