Folder,File,Error,Time
phoneRawDataFile-28309218800056-1562769991518,gallery_data,File not found,2019-07-10 19:46
phoneRawDataFile-28309218800056-1562769991518,calendar_events,Empty file,2019-07-10 19:46
phoneRawDataFile-28309218800056-1562769991518,sms_sent_log,Empty file,2019-07-10 19:46
phoneRawDataFile-12345678912466-1562699324833,location,File not found,2019-07-10 00:08
phoneRawDataFile-12345678912466-1562699324833,gallery_data,File not found,2019-07-10 00:08
phoneRawDataFile-12345678912466-1562699324833,sms_log,Empty file,2019-07-10 00:08
phoneRawDataFile-12345678912466-1562699324833,outgoing_call_log,Empty file,2019-07-10 00:08
phoneRawDataFile-12345678912466-1562699324833,calendar_events,Empty file,2019-07-10 00:08
phoneRawDataFile-12345678912466-1562699324833,call_log,Empty file,2019-07-10 00:08
phoneRawDataFile-12345678912466-1562699324833,contacts_list,Empty file,2019-07-10 00:08
phoneRawDataFile-12345678912466-1562699324833,sms_sent_log,Empty file,2019-07-10 00:08
phoneRawDataFile-11223344556761-1562681682662,gallery_data,File not found,2019-07-09 19:14
phoneRawDataFile-11223344556761-1562681682662,calendar_events,Empty file,2019-07-09 19:14
phoneRawDataFile-35202482969695-1562674474149,gallery_data,File not found,2019-07-09 17:14
phoneRawDataFile-33669900996633-1562663307430,gallery_data,File not found,2019-07-09 14:08
phoneRawDataFile-33669900996633-1562663307430,calendar_events,Empty file,2019-07-09 14:08
phoneRawDataFile-99999999999996-1562583065912,gallery_data,File not found,2019-07-08 15:51
phoneRawDataFile-11447700885522-1562048926626,accounts_list,File not found,2019-07-02 11:28
phoneRawDataFile-11447700885522-1562048926626,location,File not found,2019-07-02 11:28
phoneRawDataFile-11447700885522-1562048926626,gallery_data,File not found,2019-07-02 11:28
phoneRawDataFile-11447700885522-1561968941951,accounts_list,File not found,2019-07-01 13:15
phoneRawDataFile-11447700885522-1561968941951,location,File not found,2019-07-01 13:15
phoneRawDataFile-11447700885522-1561968941951,gallery_data,File not found,2019-07-01 13:15
phoneRawDataFile-11447700885522-1561968941951,calendar_events,Empty file,2019-07-01 13:15
phoneRawDataFile-25035038038038-1561966166461,accounts_list,File not found,2019-07-01 12:29
phoneRawDataFile-25035038038038-1561966166461,location,File not found,2019-07-01 12:29
phoneRawDataFile-25035038038038-1561966166461,gallery_data,File not found,2019-07-01 12:29
