,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Mar 17,Average Prices Feb 17,Average Prices Mar 17 Feb 17 Mar 16,%change Mar 17 over Feb 17,%change Mar 17 over Mar 16
"Long Cloth, 57"", (SN)",1 mtr,205,195,137.5,135,257.14,237.5,235,250,180,170,240,230,200,300,157.5,170,195,205.57,205.57,202.77,0,1.38
"Shirting, (AQ), (SN)",1 mtr,192.5,185,175,175,138.57,125,140,210,115,166.15,140,120,130,283.33,147.5,160,190,164.3,164.3,161.94,0,1.46
"Lawn Printed, (SN)",1 mtr,240,220,205,205,281.07,240,360,150,169,415,280,280,333,360,187.5,180,165,251.21,251.21,243.97,0,2.97
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,120.54,160,135,105,110,114.62,120,125,130,120,100,105,95,124.13,124.13,123.24,0,0.72
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179,0,0.05
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,501.94,0,0.09
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.42,0,0.22
Kerosene Oil,1 Ltr,98.75,95,75,77,95,69,75,70,71,97.12,81,69.5,90,86.67,85,56,50,78.88,77.97,74.4,1.17,6.02
Firewood Whole,40 Kg,787.5,741.67,690,650,737.14,600,500,606.67,625,644.23,550,400,450,720,495,650,510,609.25,612.21,604.02,-0.48,0.87
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,167.21,0,0.35
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,24.79,0,4.52
"Match Box, Regular",Each,2,2,2,2,2,2.5,3,2,2.5,2,2,2.5,2.5,2,2.5,2,1.5,2.18,2.18,1.99,0,9.55
"Petrol, Super",1 Ltr,73.26,73.26,73.36,74.4,73.36,73.4,73.49,73.28,74.6,73.25,73.8,73.25,74.9,73.26,75.6,73.38,75.51,73.84,71.62,63.5,3.1,16.28
Hi Speed Diesel (HSD),1 Ltr,82.29,82.29,83,83.5,82.36,82.4,82.56,82.28,83.6,82.29,82.9,82.28,83.8,82.28,84.7,82.31,85.1,82.94,80.87,72.01,2.56,15.18
"LPG Cylinder, 11kg",Each,1234,1200,1023,1100,1061.5,1050,1060,1056,1100,1100,1100,1210,1166,1150,1094,1200,1100,1117.91,1190.33,871.82,-6.08,28.23
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
Each,40,40,40,40,40,37,38.8,40,40,40,40,38.8,39.4,40,36,36,36,38.94,38.24,35.65,1.83,9.23,
