Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices May 17,Average Prices  May 17,Average Prices May 16 ,% change May 17 over Apr 17,% change May 17 over May 16
"Cigarettes, K-2, 20's",Packet,70,70,75,75,70,70,65,62,57,70,65,65,62,70,64,70,65,67.35,67.35,60.12,0,12.03
"Long Cloth, 57"", (SN)",1 mtr,205,195,137.5,135,267.5,237.5,238.75,250,180,170,240,230,200,300,157.5,190,195,207.57,205.87,205.27,0.83,1.12
"Shirting, (AQ), (SN)",1 mtr,192.5,185,175,175,155,125,143.75,210,115,166.15,140,120,150.63,283.33,147.5,160,190,166.7,164.78,164.3,1.17,1.46
"Lawn Printed, (SN)",1 mtr,240,220,205,205,305,240,360,150,169,415,280,280,366.66,360,187.5,190,165,255.19,251.91,250.93,1.3,1.7
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,135,160,135,105,110,114.62,120,125,130,120,100,105,95,124.98,124.55,123.83,0.35,0.93
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.09,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.39,0,0
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBT,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.33,0,0.29
Kerosene Oil,1 Ltr,98.75,95,75,77,95,69,75,70,71,97.12,81,68.25,90,86.67,85,56,50,78.81,78.88,74.87,-0.09,5.26
Firewood Whole,40 Kg,787.5,741.67,675,650,762.86,600,500,606.67,625,644.23,550,400,450,716.67,495,650,500,609.09,610.56,596.66,-0.24,2.08
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,167.79,0,0
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,25.03,0,3.52
"Match Box, Regular",Each,2,2,2,2,2,2.5,3,2,2.5,2,2,2.5,2.5,2,3,2,1.5,2.21,2.18,2.09,1.38,5.74
"Petrol, Super",1 Ltr,74.26,74.26,74.36,75.4,74.36,74.4,74.5,74.28,75.6,74.26,74.8,74.25,75.9,74.27,76.6,74.38,76.51,74.85,74.85,65.12,0,14.94
Hi Speed Diesel (HSD),1 Ltr,83.29,83.29,84,84.5,83.36,83.4,83.56,83.28,84.6,83.28,83.88,83.3,84.8,83.9,85.7,83.31,86.1,83.97,83.97,73.44,0,14.34
"LPG Cylinder, 11kg",Each,1080,1037.5,880,990,907.5,1025,1025,880,962.5,935,1100,1155,1089,1072.5,1002.5,1100,1043.75,1016.78,1089.3,921.78,-6.66,10.31
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
