,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz-dar,Average Prices Jan 17,Average Prices  Dec 16,Average Prices Jan 16 ,%change Jan 2017 over Dec 16,%change Jan 2017 over Dec 16 
"Cigarettes, K-2, 20's",Packet,70,70,75,65,65,70,65,62,57,70,65,65,62,70,64,70,65,66.47,65.54,59.46,1.42,11.79
"Long Cloth, 57"", (SN)",1 mtr,205,195,137.5,135,257.14,237.5,235,250,180,170,240,230,200,300,157.5,170,195,205.57,205.57,202.77,0,1.38
"Shirting, (AQ), (SN)",1 mtr,192.5,185,175,175,138.57,125,140,210,115,166.15,140,120,130,283.33,147.5,160,190,164.3,164.3,161.94,0,1.46
"Lawn Printed, (SN)",1 mtr,240,220,205,205,281.07,240,360,150,169,415,280,280,333,360,187.5,180,165,251.21,251.21,243.03,0,3.37
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,120.54,160,135,105,110,114.62,120,125,130,120,100,105,95,124.13,124.13,123.13,0,0.81
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179,0,0.05
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,501.94,0,0.09
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.42,0,0.22
Kerosene Oil,1 Ltr,98.75,95,75,77,90,69,75,67.5,68,97.12,80,69.5,85,86.67,85,55,50,77.86,77.6,79.64,0.34,-2.24
Firewood Whole,40 Kg,787.5,741.67,700,700,720,600,500,606.67,625,644.23,550,400,450,725,495,631.25,475,608.9,607.39,602.99,0.25,0.98
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,166.76,0,0.62
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,24.74,0,4.73
"Match Box, Regular",Each,2,2,2,2,2,2.5,3,2,2.5,2,2,2.5,2.5,2,2.5,2,1.5,2.18,2.13,1.99,2.35,9.55
"Petrol, Super",1 Ltr,67.4,67.4,67.51,67.9,67.52,67.5,67.72,67.47,68.33,67.4,67.73,67.41,69,67.41,69.8,67.39,69.67,67.92,67.04,77.17,1.31,-11.99
Hi Speed Diesel (HSD),1 Ltr,76.5,76.5,76.45,77.6,76.58,76.63,76.88,76.54,77.55,76.5,77.03,76.49,78,76.51,79.65,76.5,79.32,77.13,76.1,81.96,1.35,-5.89
"LPG Cylinder, 11kg",Each,1260,1237.5,1067.5,1127.5,1093.13,1137.5,1131.25,1150,1175,1017.5,1072.5,1210,1210,1320,1127.5,1325,1100,1162.46,1150.12,1192.54,1.07,-2.52
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
Each,39.25,39.25,37,37,37,37,37,37,40,40,39.25,37,37,37.75,36,36,36,37.62,37,35.76,1.68,5.2,
