Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Oct 16,Average Prices  Sep 16,Average Prices Oct 15 ,%change October 2016 over Sep 16,%change October 2016 over Oct 15 
"Cigarettes, K-2, 20's",Packet,65,65,70,65,65,65,65,62,57,65,65,65,62,70,60,60,65,64.18,64.18,54.76,0,17.2
"Long Cloth, 57"", (SN)",1 mtr,205,195,137.5,135,257.14,237.5,235,250,180,170,240,230,200,300,157.5,170,195,205.57,205.57,202.77,0,1.38
"Shirting, (AQ), (SN)",1 mtr,192.5,185,175,175,138.57,125,140,210,115,166.15,140,120,130,283.33,147.5,160,190,164.3,164.3,161.94,0,1.46
"Lawn Printed, (SN)",1 mtr,240,220,205,205,281.07,240,360,150,169,415,280,280,333,360,187.5,180,165,251.21,251.21,243.03,0,3.37
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,120.54,160,135,105,110,114.62,120,125,130,110,100,105,95,123.54,123.54,123.1,0,0.36
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179,0,0.05
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,499,0,0.68
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,98.75,95,75,77,90,69,75,67.5,66,97.12,80,69.5,85,75,85,55,50,77.05,77.05,83.68,0,-7.92
Firewood Whole,40 Kg,787.5,741.67,675,650,720,600,500,606.67,625,629.33,550,400,400,691.67,490,625,475,598.05,597.49,586.71,0.09,1.93
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,166.62,0,0.7
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.62,24.74,1.13,4.73
"Match Box, Regular",Each,2,2,2,2,2,2.5,2.5,2,2.5,2,2,2.5,2.5,2,2.5,1,1.5,2.09,2.09,1.94,0,7.73
"Petrol, Super",1 Ltr,64.53,64.53,64.61,66.25,64.63,64.48,64.8,64.99,65.45,64.48,64.95,64.48,66.1,64.48,67.1,64.5,66.78,65.13,65.12,74.56,0.02,-12.65
Hi Speed Diesel (HSD),1 Ltr,72.81,72.81,72.85,74.6,72.88,72.73,72.95,72.99,74.1,72.73,73.3,72.73,74.3,72.73,75.7,72.8,75.62,73.45,73.45,82.87,0,-11.37
"LPG Cylinder, 11kg",Each,1190,1170,976.25,1045,948.75,1056.25,1043.75,1100,1100,1017.5,1100,1100,1100,1100,1035,1218.75,1000,1076.54,995.76,1087.47,8.11,-1.01
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,36,36,36.82,36.82,36.68,0,0.38
