Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Dec 16,Average Prices Now 16,Average Prices Dec 15,%change November 2016 over Nov 16,%change November 2016 over Dec 15 
"Long Cloth, 57"", (SN)",1 mtr,205,195,137.5,135,257.14,237.5,235,250,180,170,240,230,200,300,157.5,170,195,205.57,205.57,202.77,0,1.38
"Shirting, (AQ), (SN)",1 mtr,192.5,185,175,175,138.57,125,140,210,115,166.15,140,120,130,283.33,147.5,160,190,164.3,164.3,161.94,0,1.46
"Lawn Printed, (SN)",1 mtr,240,220,205,205,281.07,240,360,150,169,415,280,280,333,360,187.5,180,165,251.21,251.21,243.03,0,3.37
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,120.54,160,135,105,110,114.62,120,125,130,120,100,105,95,124.13,124.03,123.1,0.08,0.84
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179,0,0.05
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,499.59,0,0.56
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,98.75,95,75,77,90,69,75,67.5,66,97.12,80,69.5,85,84.34,85,55,50,77.6,77.05,84.07,0.71,-7.7
Firewood Whole,40 Kg,787.5,741.67,700,700,720,600,500,606.67,625,644.23,550,400,450,707.5,493,625,475,607.39,600.91,593.62,1.08,2.32
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,166.62,0,0.7
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,24.74,0,4.73
"Match Box, Regular",Each,2,2,2,2,2,2.5,2.8,2,2.5,2,2,2.5,2.5,2,2.5,1.4,1.5,2.13,2.09,1.99,1.91,7.04
"Petrol, Super",1 Ltr,66.51,66.51,66.61,67.5,66.63,66.6,66.76,66.54,67.15,66.52,66.95,66.52,68.1,66.53,68.9,66.5,68.78,67.04,65.13,77.17,2.93,-13.13
Hi Speed Diesel (HSD),1 Ltr,75.5,75.5,75.55,76.6,75.58,75.6,75.77,75.54,76.35,75.5,76,75.49,77,75.51,78.4,75.5,78.32,76.1,73.45,84.75,3.61,-10.21
"LPG Cylinder, 11kg",Each,1230,1200,1045,1166,1078,1185,1095,1056,1100,1012,1100,1232,1210,1320,1128,1295,1100,1150.12,1169.12,1215.28,-1.63,-5.36
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,37,37,37,37,37,37,37,37,38.8,38.2,37,37,37,37,36,36,36,37,36.82,36.2,0.49,2.21
