Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Feb 17,Average Prices Jan 17,Average Average Feb 16 ,%change Feb 17 over Jan 17,%change Feb 17 over Feb 16 
"Cigarettes, K-2, 20's",Packet,70,70,75,75,65,70,65,62,57,70,65,65,62,70,64,70,65,67.06,66.47,59.82,0.89,12.1
"Long Cloth, 57"", (SN)",1 mtr,205,195,137.5,135,257.14,237.5,235,250,180,170,240,230,200,300,157.5,170,195,205.57,205.57,202.77,0,1.38
"Shirting, (AQ), (SN)",1 mtr,192.5,185,175,175,138.57,125,140,210,115,166.15,140,120,130,283.33,147.5,160,190,164.3,164.3,161.94,0,1.46
"Lawn Printed, (SN)",1 mtr,240,220,205,205,281.07,240,360,150,169,415,280,280,333,360,187.5,180,165,251.21,251.21,243.03,0,3.37
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,120.54,160,135,105,110,114.62,120,125,130,120,100,105,95,124.13,124.13,123.24,0,0.72
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179,0,0.05
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,501.94,0,0.09
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBT,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.42,0,0.22
Kerosene Oil,1 Ltr,98.75,95,75,77,90,69,75,67.5,70,97.12,80,69.5,85,86.67,85,55,50,77.97,77.86,75.35,0.14,3.48
Firewood Whole,40 Kg,787.5,741.67,700,700,720,600,500,606.67,625,644.23,550,400,450,725,495,650,512.5,612.21,608.9,605.19,0.54,1.16
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,167.21,0,0.35
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,24.74,0,4.73
"Match Box, Regular",Each,2,2,2,2,2,2.5,3,2,2.5,2,2,2.5,2.5,2,2.5,2,1.5,2.18,2.18,1.99,0,9.55
"Petrol, Super",1 Ltr,71.04,71.04,71.15,72.1,71.15,71.15,71.46,71.04,72.3,71.03,71.5,71.05,72.7,71.04,73.4,71.02,73.3,71.62,67.92,72.07,5.45,-0.62
Hi Speed Diesel (HSD),1 Ltr,80.26,80.26,80.11,81.4,80.34,80.33,80.72,80.24,81.55,80.25,80.82,80.28,81.8,80.26,82.9,80.26,83.08,80.87,77.13,76.67,4.85,5.48
"LPG Cylinder, 11kg",Each,1340,1317.5,1088.13,1210,1113.75,1150,1093.75,1122.5,1265,1100,1210,1210,1210,1292.5,1125,1287.5,1100,1190.33,1162.46,1065.13,2.4,11.75
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,40,40,38.5,38.5,37,37,37,40,40,40,40,37,37,40,36,36,36,38.24,37.62,35.74,1.65,6.99
