,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Nov 16 ,Average Prices Oct 16,Average Prices Nov 15,%change November 2016 over Oc 16,%change November 2016 over Nov 15
"Cigarettes, K-2, 20's",Packet,65,65,70,65,65,65,65,62,57,65,65,65,62,70,60,65,65,64.47,64.18,54.76,0.45,17.7
"Long Cloth, 57"", (SN)",1 mtr,205,195,137.5,135,257.14,237.5,235,250,180,170,240,230,200,300,157.5,170,195,205.57,205.57,202.77,0,1.3
"Shirting, (AQ), (SN)",1 mtr,192.5,185,175,175,138.57,125,140,210,115,166.15,140,120,130,283.33,147.5,160,190,164.3,164.3,161.94,0,1.4
"Lawn Printed, (SN)",1 mtr,240,220,205,205,281.07,240,360,150,169,415,280,280,333,360,187.5,180,165,251.21,251.21,243.03,0,3.3
"Georgette, (AQ), (SN)",1 mtr,155,152.5,132.5,130,120.54,160,135,105,110,114.62,120,125,130,118.33,100,105,95,124.03,123.54,123.1,0.4,0.7
"Gents Sandal, Bata",Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
"Gents Chappal Spng, Bata",Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179,0,0
"Ladies Sandal, Bata",Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,499,0,0.6
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBTU,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.7,0,0
Kerosene Oil,1 Ltr,98.75,95,75,77,90,69,75,67.5,66,97.12,80,69.5,85,75,85,55,50,77.05,77.05,84.31,0,-8.6
Firewood Whole,40 Kg,787.5,741.67,687.5,650,720,600,500,606.67,625,640.39,550,400,412.5,704.17,490,625,475,600.91,598.05,590,0.48,1.8
Energy Saver,Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,166.62,0,0.7
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,24.74,0,4.7
"Match Box, Regular",Each,2,2,2,2,2,2.5,2.5,2,2.5,2,2,2.5,2.5,2,2.5,1,1.5,2.09,2.09,1.96,0,6.6
"Petrol, Super",1 Ltr,64.53,64.53,64.61,66.25,64.63,64.48,64.8,64.99,65.45,64.48,64.95,64.48,66.1,64.48,67.1,64.5,66.78,65.13,65.13,77.17,0,-15.6
Hi Speed Diesel (HSD),1 Ltr,72.81,72.81,72.85,74.6,72.88,72.73,72.95,72.99,74.1,72.73,73.3,72.73,74.3,72.73,75.7,72.8,75.62,73.45,73.45,84.75,0,-13.3
"LPG Cylinder, 11kg",Each,1272.5,1247.5,1072.5,1155,1058.75,1212.5,1156.25,1225,1155,1100,1155,1182.5,1155,1251.25,1145,1268.75,1062.5,1169.12,1076.54,1105.29,8.6,5.7
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
Each,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,36,36,36.82,36.82,36.71,0,0.3,
