Description,Unit,Islam- abad,Rawal- pindi,Gujran- wala,Sialkot,Lahore,Faisal- abad,Sar- godha,Multan,Baha- walpur,Karachi,Hyder- abad,Sukkur,Larkana,Pesha- war,Bannu,Quetta,Khuz- dar,Average Prices Apr 17,Average Prices  Apr 17,Average Prices Apr 16 ,%change Apr 17 over Mar 17,%change Apr 17 over Mar 16 
"Cigarettes, K-2, 20's",Packet,70,70,75,75,70,70,65,62,57,70,65,65,62,70,64,70,65,67.35,67.24,60.04,0.16,12.18
Long Cloth,1 mtr,205,195,137.5,135,262.32,237.5,235,250,180,170,240,230,200,300,157.5,170,195,205.87,205.57,204.43,0.15,0.7
Shirting,1 mtr,192.5,185,175,175,146.79,125,140,210,115,166.15,140,120,130,283.33,147.5,160,190,164.78,164.3,163.41,0.29,0.84
Lawn,1 mtr,240,220,205,205,293.04,240,360,150,169,415,280,280,333,360,187.5,180,165,251.91,251.21,248.4,0.28,1.41
Georgette,1 mtr,155,152.5,132.5,130,127.77,160,135,105,110,114.62,120,125,130,120,100,105,95,124.55,124.13,123.91,0.34,0.52
Sandal Bata (Gents),Pair,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,0,0
Chappal Spounge Bata (Gents),Pair,179,179,179,179,179,179,179,179,179,180.54,179,179,179,179,179,179,179,179.09,179.09,179.05,0,0.02
Sandal Bata (Ladies),Pair,499,499,499,499,499,499,499,499,549,506.69,499,499,499,499,499,499,499,502.39,502.39,502.17,0,0.04
"Elec. Charges, Upto 50 Units",Unit,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0
"Gas Charges, Upto 3.3719 MMBTU",MMBT,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,128.7,,128.7,128.7,128.37,0,0.26
Kerosene Oil,1 Ltr,98.75,95,75,77,95,69,75,70,71,97.12,81,69.5,90,86.67,85,56,50,78.88,78.88,74.85,0,5.38
Firewood Whole,40 Kg,787.5,741.67,700,650,762.86,600,500,606.67,625,644.23,550,400,450,716.67,495,650,500,610.56,609.25,601.97,0.22,1.43
Energy Saver (14 watts),Each,167.5,167.5,155,155,170,162.5,175,165,175,170,190,155,175,180,160,180,150,167.79,167.79,167.5,0,0.17
"Washing Soap, (Nylon), (SN)",Cake,25,25,16,20,40,25,40,22,20,14,25,26,30,20,22.5,30,40,25.91,25.91,25.03,0,3.52
"Match Box, Regular",Each,2,2,2,2,2,2.5,3,2,2.5,2,2,2.5,2.5,2,2.5,2,1.5,2.18,2.18,2.07,0,5.31
"Petrol, Super",1 Ltr,74.26,74.26,74.36,75.4,74.36,74.4,74.5,74.28,75.6,74.26,74.8,74.25,75.9,74.26,76.6,74.38,76.51,74.85,73.84,65.12,1.37,14.94
Hi Speed Diesel (HSD),1 Ltr,83.29,83.29,84,84.5,83.36,83.4,83.56,83.28,84.6,83.28,83.88,83.3,84.8,83.9,85.7,83.31,86.1,83.97,82.94,73.44,1.24,14.34
"LPG Cylinder, 11kg",Each,1190,1165,976.25,1086.25,1010.63,1025,1100,1003.75,1100,1017.5,1072.5,1210,1155,1137.5,1081.25,1106.25,1081.25,1089.3,1117.91,903.93,-2.56,20.51
Telephone Local Call,P/Call,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,3.94,0,0
"Soap, LifeBuoy",Each,40,40,40,40,40,37,40,40,40,40,40,40,40,40,36,36,36,39.12,38.94,35.65,0.46,9.73
