,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,35,60,6,1898,245,35.14,4155,45.67,3,8,239,17,18,0,35,43,2712,1519,32,4/33,7/59,47.46,3.36,84.7,2,0,0
1,ODIs,287,258,40,7534,143,34.55,9199,81.90,9,44,603,113,98,0,287,217,7958,6192,158,4/19,4/19,39.18,4.66,50.3,1,0,0
2,T20Is,111,104,30,2263,75,30.58,1824,124.06,0,7,186,61,50,0,111,46,540,644,28,2/7,2/7,23.00,7.15,19.2,0,0,0
3,First-class,126,197,21,6559,245,37.26,,,17,30,,,67,0,126,,15149,7439,260,7/81,,28.61,2.94,58.2,,9,1
4,List A,405,357,60,11447,143,38.54,,,16,71,,,156,0,405,,13498,10248,309,5/35,5/35,33.16,4.55,43.6,7,1,0
5,T20s,345,324,87,8701,95*,36.71,6958,125.05,0,51,670,261,134,0,345,197,3088,3614,136,5/13,5/13,26.57,7.02,22.7,1,2,0
