,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,ODIs,1,1,0,2,2,2.00,14,14.28,0,0,0,0,0,0,1,1,12,16,0,-,-,-,8.00,-,0,0,0
1,T20Is,14,14,1,371,63,28.53,309,120.06,0,2,35,5,4,0,14,6,36,54,4,2/12,2/12,13.50,9.00,9.0,0,0,0
2,First-class,33,54,10,1331,86,30.25,2872,46.34,0,9,169,9,22,0,33,49,1674,1120,33,3/24,5/62,33.93,4.01,50.7,0,0,0
3,List A,57,53,13,1453,141*,36.32,1656,87.74,3,9,131,28,20,0,57,40,912,972,18,4/54,4/54,54.00,6.39,50.6,1,0,0
4,T20s,77,68,21,1534,80*,32.63,1267,121.07,0,7,126,44,18,0,77,42,537,761,27,3/21,3/21,28.18,8.50,19.8,0,0,0
