,Type,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
0,Tests,4,6,0,138,83,23.00,197,70.05,0,1,19,1,0,0,4,7,540,287,11,3/42,6/99,26.09,3.18,49.0,0,0,0
1,ODIs,23,15,2,162,28,12.46,195,83.07,0,0,13,6,5,0,23,22,902,744,20,5/22,5/22,37.20,4.94,45.1,0,1,0
2,T20Is,26,17,6,125,21,11.36,102,122.54,0,0,6,8,7,0,26,25,429,526,24,3/5,3/5,21.91,7.35,17.8,0,0,0
3,First-class,40,58,8,1478,116,29.56,2232,66.21,2,5,187,23,18,0,40,69,6263,3172,117,6/65,9/115,27.11,3.03,53.5,3,5,0
4,List A,66,50,7,700,71,16.27,842,83.13,0,2,57,21,18,0,66,65,2808,2408,89,5/22,5/22,27.05,5.14,31.5,1,2,0
5,T20s,67,48,19,479,54*,16.51,348,137.64,0,1,29,29,16,0,67,65,1263,1635,74,6/19,6/19,22.09,7.76,17.0,1,1,0
